address,iban,zrnr,timezone,random_number,country,pricetag,file_name,language_code,language_name,mac_address,company,time,bank_country,hostname
"Blümelallee 500
49187 Bergzabern",DE92323861376492311293,JB-4819-2854-BANK,America/Guyana,437,Irak,"80,87 €",helfen.mp3,wo,Uzbek,7f:45:f7:1a:8a:ab,Margraf,00:03:03,DE,lt-99.jungfer.de
"Jaqueline-Jähn-Straße 649
65513 Hainichen",DE49690668141397783685,JB-6197-6751-BANK,Europe/Paris,9,Nördliche Marianen,"98.952,32 €",schwarz.css,hak,Ojibwa,53:37:7f:45:dd:96,Grein Groth Kroker AG & Co. OHG,02:34:41,DE,laptop-41.atzler.com
"Norman-Dörr-Ring 367
51743 Paderborn",DE78728756060390538175,JB-3755-5917-BANK,Africa/Nairobi,9118624,Gambia,"44,01 €",Schnee.flac,tr,Twi,66:01:be:6a:e1:77,Lehmann Hahn AG,03:59:43,DE,laptop-12.zorbach.de
"Grein Grothgasse 22
99945 Kulmbach",DE50395928260090305610,JB-7939-6649-BANK,Africa/Monrovia,32082697,Französisch-Guayana,"395,03 €",Wald.json,wo,Welsh,20:7d:29:d4:c7:c7,Dussen van GmbH & Co. KG,22:49:43,DE,email-22.benthin.de
"Jenny-Lehmann-Platz 356
97969 Main-Höchst",DE86406381672914984261,JB-6293-1736-BANK,Asia/Seoul,62566146,Saudi-Arabien,"98.395,60 €",lachen.webm,mhr,Inupiaq,46:7a:37:65:ff:d1,Möchlichen GbR,15:33:45,DE,lt-67.hellwig.com
"Etzoldallee 446
13739 Kleve",DE88685337211983417224,JB-7264-5813-BANK,Asia/Shanghai,902311,Kroatien,"620,55 €",Woche.numbers,af,Marshallese,24:b9:08:53:3e:e5,Schenk,04:27:19,DE,lt-22.seidel.net
"Susanne-Heß-Platz 3
38427 Schwarzenberg",DE19835936162094817260,JB-2465-4265-BANK,America/Port_of_Spain,782840,Grönland,"67.144,46 €",oft.png,ks,Church Slavic,b5:31:55:3b:70:7d,Loos,19:38:17,DE,db-02.seip.net
"Gretl-Kallert-Allee 75
03066 Kötzting",DE31981571529776144440,JB-4539-2169-BANK,America/El_Salvador,5,Turks- und Caicosinseln,"23,94 €",verstehen.bmp,ta,Maltese,73:f8:91:e5:70:d8,Trupp Kruschwitz OHG mbH,04:47:02,DE,web-20.gude.net
"Ziegertstraße 6
48785 Neustadtner Waldnaab",DE77325879682446851110,JB-4274-0598-BANK,America/St_Lucia,25513,Isle of Man,"48,75 €",ging.webm,zu,Catalan,07:56:95:3f:05:6f,Rörricht,22:24:08,DE,laptop-99.etzler.com
"Schönlandring 72
79511 Görlitz",DE78133671481408840841,JB-1842-3778-BANK,America/El_Salvador,6,Gibraltar,"9.540,36 €",so.js,br,Latin,3d:ca:ad:30:f7:04,Bien,11:24:24,DE,email-77.juettner.de
"Renata-Hölzenbecher-Ring 157
46733 Luckau",DE79885971412458888136,JB-5427-5396-BANK,Europe/Tirane,203,Fidschi,"475,92 €",damit.wav,wo,Nauru,e9:95:f7:81:29:81,Austermühle AG & Co. KGaA,12:44:20,DE,laptop-26.dobes.com
"Francesca-Kallert-Platz 5/0
68933 Deggendorf",DE83761977961820420741,JB-6979-1043-BANK,America/Antigua,824,Ghana,"53.010,15 €",Buch.wav,it,Galician,63:5f:f1:8f:c2:03,Heintze,17:26:56,DE,db-47.doerschner.de
"Ulrike-Kranz-Ring 0/0
03916 Bernburg",DE09583771967837724221,JB-1564-3123-BANK,Africa/Banjul,7120176,Jordanien,"169,20 €",dick.webm,ar,Walloon,48:43:82:8f:da:f6,Trüb Holzapfel AG & Co. KGaA,11:18:35,DE,db-03.graf.com
"Gundula-Adler-Gasse 183
39418 Oranienburg",DE47278082045595079572,JB-3434-0292-BANK,Africa/Sao_Tome,833394,Estland,"22.706,66 €",Stück.wav,nl,Bambara,61:2b:dd:a0:30:ab,Scheibe Adolph GmbH & Co. KG,01:08:22,DE,email-92.roehricht.com
"Marietta-Hofmann-Platz 425
04702 Fallingbostel",DE33694118782216241098,JB-3561-2244-BANK,Asia/Choibalsan,18656673,Österreich,"25.611,30 €",wie.csv,uk,Norwegian,db:20:23:ea:7d:dc,Herrmann GmbH & Co. KG,08:13:34,DE,db-37.ehlert.de
"Krokerallee 9/4
36438 Ludwigsburg",DE75901574220467090772,JB-0297-2912-BANK,America/Panama,92296791,Martinique,"13.398,82 €",seit.xlsx,gv,Fulah,2b:37:9f:e3:e2:df,Zimmer Zahn AG,15:12:48,DE,web-61.kohl.de
"Langernstr. 1
43967 Schrobenhausen",DE68965058539070750593,JB-2859-5485-BANK,Asia/Thimphu,9,Bangladesch,"61,18 €",Geld.bmp,et,Galician,82:45:61:07:fe:bb,Gehringer,21:34:34,DE,email-30.soeding.com
"Anne-Vollbrecht-Weg 7
71910 Herzberg",DE31064874485719619111,JB-4852-0283-BANK,Europe/Vatican,338,Amerikanische Jungferninseln,"0,79 €",hat.html,iu,Interlingua,c7:b7:66:a8:37:89,Gnatz KG,09:01:36,DE,lt-52.mueller.de
"Rustallee 52
52498 Grimma",DE67718119143255229571,JB-4075-5427-BANK,America/Managua,5398344,Mauretanien,"635,73 €",dir.txt,wae,English,9f:64:01:89:ca:56,Ackermann Hartmann GmbH,23:39:41,DE,laptop-84.klemt.de
"Natalia-Gunpf-Weg 23
37094 Kötzting",DE18008792180978374620,JB-5980-6362-BANK,Australia/Adelaide,3,Lesotho,"6,70 €",rot.wav,ia,Sango,2b:72:40:70:b4:c9,Heydrich,22:22:57,DE,db-11.vogt.com
"Gutknechtstraße 2
00904 Worbis",DE72028420073940735803,JB-0400-3686-BANK,Asia/Saigon,1955,Belize,"14,22 €",ziehen.pages,ta,Hausa,d2:6e:f0:67:28:cf,Wilms,07:06:46,DE,email-57.trub.org
"Heringring 29
62442 Bitterfeld",DE78092013704780063433,JB-0658-4333-BANK,Africa/Maputo,314961987,Niederlande,"24.382,25 €",Weihnachten.gif,ayc,Korean,31:92:90:41:d8:01,Zorbach AG & Co. KGaA,01:37:35,DE,db-49.saeuberlich.com
"Ottoplatz 3
04289 Hofgeismar",DE56036498963709636998,JB-4253-2185-BANK,Africa/Luanda,398398,Liberia,"2,91 €",deshalb.mov,kl,Lithuanian,12:24:9e:b5:19:10,Kallert Kroker GbR,22:03:01,DE,email-43.segebahn.com
"Sieringstraße 146
07723 Gelnhausen",DE80056769695372737909,JB-1823-0726-BANK,Europe/Vatican,648715,Polen,"5,65 €",schnell.docx,eo,Bislama,04:f8:7e:98:50:b5,Peukert,03:54:22,DE,email-80.roskoth.org
"Maurice-Sauer-Ring 6
19806 Wiedenbrück",DE92173112975553814794,JB-0311-3217-BANK,Africa/Gaborone,24092197,Uruguay,"606,90 €",ihn.jpeg,vi,Panjabi,bc:ca:c0:42:93:c5,Schleich Kade OHG mbH,04:09:36,DE,srv-96.hess.org
"Heringallee 018
65026 Höxter",DE05511467726665084525,JB-0394-7027-BANK,America/Guatemala,227,Malediven,"10.182,17 €",denken.key,mag,Aymara,9b:cb:de:be:24:1e,Weiß OHG mbH,17:03:02,DE,srv-26.schwital.net
"Drewesweg 48
37866 Nauen",DE28545429487045279873,JB-1531-6004-BANK,Asia/Kabul,6875222,Peru,"905,43 €",nass.json,ml,Dzongkha,7b:53:d6:11:21:8e,Schinke Hörle AG & Co. OHG,01:35:52,DE,lt-35.jessel.de
"Kästerstraße 2/7
42448 Holzminden",DE41982043635554871114,JB-6884-4698-BANK,Africa/Nouakchott,48,Mikronesien,"38.105,56 €",nass.xls,xh,Kurdish,28:5b:42:41:6b:07,Adler AG,18:50:54,DE,email-37.barth.de
"Etzlerstr. 432
95143 Waldmünchen",DE81483138960030483700,JB-4814-3602-BANK,Africa/Johannesburg,53016,Tschad,"1.753,00 €",Minutenmir.docx,sk,Sardinian,80:51:5b:cf:00:ae,Seidel Textor GmbH & Co. KG,11:18:54,DE,db-61.mielcarek.com
"Lindauallee 6/2
33009 Cottbus",DE40742917741130174060,JB-2976-3803-BANK,Africa/Djibouti,223,Amerikanische Jungferninseln,"5.223,58 €",mehr.numbers,am,Ido,86:8a:3d:a1:c3:37,Weitzel KGaA,16:56:55,DE,srv-84.pruschke.com
"Bonbachplatz 7/0
81897 Eisenberg",DE80877973420260421159,JB-1894-0775-BANK,Africa/Libreville,956650954,Äthiopien,"17,26 €",wohl.gif,is,Italian,5a:a1:06:92:65:a1,Heinz AG & Co. KGaA,05:54:49,DE,web-32.mentzel.net
"Francis-Heuser-Weg 483
13588 Wernigerode",DE61808754290805432633,JB-6479-2835-BANK,Africa/Ceuta,3657,Dänemark,"8.789,97 €",dumm.jpg,cs,Marathi,8e:62:6d:b6:d2:5b,Austermühle Kranz AG,04:38:48,DE,web-21.linke.de
"Speerstr. 478
89791 Peine",DE94530632141499249607,JB-7942-3823-BANK,Africa/Tripoli,53386191,Katar,"40.318,09 €",doch.json,bn,Xhosa,cd:67:96:d2:d4:14,Trüb GbR,18:55:41,DE,laptop-55.birnbaum.com
"Jaroslaw-Graf-Platz 33
79986 Niesky",DE81844275371405596606,JB-6401-0423-BANK,Africa/Cairo,3,Georgien,"40,22 €",scheinen.odp,szl,Inuktitut,0f:1b:59:f6:a1:61,Schlosser Beer KG,01:08:16,DE,db-31.stoll.com
"Mansstraße 3
85780 Bitterfeld",DE42521262052930721296,JB-7844-0614-BANK,Africa/Maseru,18,Usbekistan,"9,52 €",kaufen.jpeg,ku,Swedish,ec:f7:a6:a7:1d:74,Hesse GmbH,08:56:49,DE,desktop-96.winkler.de
"Pärtzeltallee 3
40422 Sternberg",DE33031603027042092945,JB-4024-6930-BANK,Europe/Helsinki,6,Libyen,"85,29 €",Fenster.avi,or,Bulgarian,98:8b:0a:b0:36:f1,Schaaf GmbH,18:17:19,DE,email-41.stahr.de
"Steinberggasse 51
13356 Melsungen",DE06492386113303221393,JB-4740-7717-BANK,Europe/Zurich,649,Botsuana,"784,99 €",kaufen.mp4,so,Polish,28:7f:18:e8:27:4a,Drub AG & Co. KG,00:29:28,DE,email-09.benthin.de
"Polina-Radisch-Straße 32
69799 Naila",DE32879426968616332187,JB-3741-6771-BANK,Asia/Brunei,3168246,Italien,"53.810,17 €",unter.mp3,si,Somali,3b:be:ce:8d:36:7b,Trupp Jacobi Jäckel AG & Co. KGaA,09:29:41,DE,laptop-00.etzold.de
"Ortrud-Eimer-Ring 32
19011 Northeim",DE96193547289491936477,JB-7100-5451-BANK,Europe/Oslo,5,Taiwan,"2,01 €",Geld.bmp,mhr,Kinyarwanda,91:45:4a:3d:fe:68,Aumann Stiftung & Co. KGaA,19:30:01,DE,email-49.seifert.com
"Rosalia-Hermighausen-Straße 5
77556 Potsdam",DE82113508386551135753,JB-3510-5718-BANK,Asia/Pyongyang,801591,Äthiopien,"93,75 €",schenken.html,fil,Ganda,8f:06:86:e7:51:93,Haering,16:19:21,DE,lt-18.christoph.de
"Preißallee 3
61003 Lörrach",DE50433014899132642087,JB-2865-5593-BANK,America/Managua,828,Mongolei,"281,44 €",arbeiten.js,an,Swahili,b4:c9:d6:5b:97:7f,Haase Junitz e.G.,21:19:55,DE,email-13.henk.de
"Warmerplatz 1
34128 Waren",DE72999647801313829008,JB-5386-0638-BANK,Africa/Blantyre,139,Republik Moldau,"4.443,66 €",vergessen.mp4,af,Luba-Katanga,c1:1d:75:6e:71:10,Lindau,22:06:35,DE,laptop-06.haering.com
"Heserallee 9
54671 Göppingen",DE61461846311589963254,JB-4913-3069-BANK,America/Panama,1417648,Bulgarien,"6.945,63 €",Baum.pdf,et,Sardinian,46:79:85:e3:aa:8d,Seip GmbH,01:32:44,DE,srv-14.schoenland.com
"Wilfried-Fechner-Gasse 8/4
67889 Kyritz",DE14682200275848044636,JB-3098-1915-BANK,Europe/London,74,Pitcairn,"2.164,09 €",fehlen.flac,it,Yoruba,d6:a3:de:05:20:fe,Roht e.V.,11:13:59,DE,web-38.scholtz.com
