phone,fullname,iban,time,file_name,timezone,latitude,language_name,date,country,iso8601,date_time,city,pricetag
+41766442549,Lydie Jenni,CH9694613631353124048,16:01:39,fuga.bmp,Europe/Budapest,14.9241675,Nepali,2005-10-30,Turkmenistan,2017-08-29T18:05:41,1990-06-28 16:32:28,Pully,$5.50
+41 774161282,Jiri Schweizer,CH9745526741854780678,02:03:04,ipsam.mp3,Africa/Blantyre,-80.4749145,Corsican,2004-01-10,Palau,2021-12-20T00:54:43,1984-03-28 09:07:06,Schwyz,"$3,715.40"
+41(0)776387475,Sabina Näf,CH7011513957450304624,00:44:41,totam.txt,Asia/Qatar,-29.8925735,Tamil,1986-05-08,Cameroon,2013-01-30T00:51:52,1997-09-30 11:31:00,Hinwil,"$7,480.57"
0783592983,Rachel Ziegler,CH8727264564219285692,14:39:32,molestiae.js,America/Costa_Rica,47.852985,Tswana,1983-12-06,Saint Lucia,1970-11-14T17:56:13,2019-07-24 05:52:24,Sarnen,"$6,557.59"
0770020406,Pierina Frick,CH3802469180717576207,05:05:58,quasi.png,Europe/Copenhagen,2.4922135,South Ndebele,1977-05-09,Dominican Republic,1973-05-13T08:32:15,1979-07-02 02:39:19,Mendrisio,$21.93
+41 786731922,Orlando Walder,CH2030952680405079661,14:23:09,totam.wav,America/Managua,26.663289,Indonesian,1981-04-10,Bulgaria,1984-11-24T18:08:46,1988-05-09 09:04:32,Wettingen,$2.76
+41 797543999,Renata Furrer,CH7711120884241126730,05:02:17,laborum.wav,America/Bogota,-11.8995955,Navajo,2011-05-17,France,2012-01-28T09:27:18,2001-07-05 15:20:51,Wald,$855.28
+410783985552,Mira Bolliger,CH1262918265332535459,20:43:45,mollitia.json,America/Belize,-25.8417665,Occitan,2009-06-04,Romania,1992-02-02T06:24:57,2017-12-08 19:40:12,Veyrier,"$6,783.85"
+41771293983,Giuseppa Suter,CH6512936979715659057,19:01:48,omnis.flac,Europe/Amsterdam,64.3481185,Latin,2014-05-16,Moldova,1974-12-27T12:41:26,1985-08-08 12:54:25,Wil,$9.14
+41(0)786813035,Mathis Roth,CH7423242890452668986,14:53:43,provident.ppt,Africa/Nouakchott,26.502773,Luxembourgish,1990-11-09,Cyprus,1984-01-13T20:24:47,2010-02-14 16:39:41,Oberwil,"$72,358.21"
+41(0)766772003,Arian Isler,CH3113680575443503578,12:58:26,accusantium.webm,Africa/Cairo,30.1996105,Luba-Katanga,1997-05-06,Slovakia,2019-02-16T20:29:13,2003-05-18 01:27:42,Romanshorn,"$2,995.93"
+41 794771483,Igor Fischer,CH6854200593345107382,23:57:45,recusandae.mp4,Europe/Ljubljana,-44.571639,Russian,1981-10-11,Paraguay,2003-08-16T07:14:54,2019-09-12 04:19:29,Lutry,$521.45
0797964870,Artur Senn,CH6253012747788148044,03:54:11,itaque.webm,America/Tegucigalpa,88.4679485,Czech,1980-04-11,India,2012-03-30T20:20:29,1979-07-05 10:35:03,Wohlen,"$9,579.37"
+41 760091380,Cristiana Beck,CH3605970526211994403,21:10:16,eum.xlsx,America/Belize,22.6468365,Uzbek,2005-10-03,South Korea,1981-09-25T00:09:48,2014-01-31 03:20:41,Wohlen,$6.12
+41 780993628,Faruk Amrein,CH5037007738476042627,00:49:29,impedit.bmp,Africa/Kinshasa,54.997186,Fulah,2021-03-28,Bulgaria,2007-03-11T19:12:44,2021-07-20 00:43:55,Flawil,$7.57
0792920328,Claus Fankhauser,CH7150411304796077147,22:11:41,placeat.key,America/La_Paz,57.3026295,Finnish,2004-08-05,Luxembourg,1995-08-13T19:50:19,2007-10-03 06:13:35,Lausanne,"$12,068.65"
+410775232548,Myrtha Kern,CH7550135191267703416,12:45:18,sint.gif,Europe/Tirane,-89.243215,Luxembourgish,2002-10-07,Samoa,1993-04-04T10:18:59,2019-06-06 07:55:06,La Tour-de-Peilz,$5.66
+41(0)780805424,Celina Hess,CH4311899670072281621,17:59:40,assumenda.mov,America/St_Kitts,-50.073119,Albanian,2009-05-14,Guyana,1973-04-28T01:10:34,1993-03-02 15:57:57,Onex,$563.78
0771487542,Andrea Stadelmann,CH1119990486587176809,00:58:24,consectetur.json,Pacific/Nauru,-15.3547805,Igbo,1982-11-08,Cuba,2022-03-06T00:39:36,1971-08-09 05:39:55,Monthey,$96.85
+41 0776547542,Susana Rey,CH0582604323306391684,22:31:08,quae.css,America/Costa_Rica,-44.543375,Norwegian,1984-06-15,Myanmar,1976-09-08T07:28:03,1988-03-30 14:43:57,Richterswil,$49.72
+41783970373,Daria Probst,CH4107194589909836756,03:06:54,explicabo.txt,Pacific/Guadalcanal,80.515807,Malay,2005-09-16,Bosnia and Herzegovina,2021-05-07T05:43:22,2014-06-28 15:03:53,Birsfelden,$687.51
+41(0)766417087,Alberto Keller,CH3175103298001087330,14:08:12,molestias.mp3,Asia/Brunei,-43.0459845,Afar,1990-07-22,Norway,1970-04-30T03:18:43,1973-06-13 01:42:46,Cham,$645.98
+41 0784586538,Drilon Gut,CH9161821950585352544,09:00:09,dignissimos.webm,Europe/Samara,-76.862126,Maltese,1999-04-16,Algeria,2000-05-13T23:22:03,1992-07-29 23:22:58,Arth,$93.91
+41 0773186004,Hedwig Huber,CH4577652207785871590,23:53:11,quasi.pages,Asia/Colombo,85.288517,Swedish,2010-09-30,Tunisia,2020-10-26T19:46:22,2013-09-11 14:01:02,Stäfa,"$61,498.60"
0792710172,Jael Stalder,CH8867840987589904076,04:16:55,accusamus.flac,Africa/Douala,71.9696075,Afrikaans,1979-02-26,Bahrain,2014-06-08T00:23:37,1991-09-09 21:27:50,Horgen,"$1,872.76"
+410766271082,Udo Schnyder,CH4759611949811634017,14:00:08,aut.mp4,Asia/Samarkand,37.947998,Nepali,1976-05-01,Malaysia,1984-04-04T17:31:57,2000-07-04 21:41:58,Lancy,"$26,296.97"
0766910385,Jonas Mayer,CH7523532066738810853,07:26:13,dolores.html,Africa/Dakar,28.3445025,Gujarati,1997-12-12,Latvia,1984-06-24T12:49:09,2014-05-26 06:22:23,Freienbach,"$9,011.82"
+41 0772327530,Concetta Näf,CH2617139240791061985,10:03:47,maiores.mp3,Europe/Bratislava,-6.284241,Malay,2012-10-22,Egypt,1979-01-29T12:37:38,2004-05-24 23:54:05,Einsiedeln,$19.08
+41 760882874,Jacqueline Senn,CH4417572715546021261,03:14:44,praesentium.bmp,Europe/Dublin,19.2954255,Slovak,1986-01-01,San Marino,2019-05-30T11:48:48,1989-12-16 05:01:44,Amriswil,$1.07
+41(0)795111078,Erich Graf,CH7719847188186644401,23:47:47,temporibus.flac,Pacific/Port_Moresby,46.4798855,Icelandic,1995-01-01,Democratic Republic of the Congo,2003-05-31T02:57:16,2014-07-14 05:43:53,Steffisburg,$44.99
+41 770403405,Geneviève Gross,CH2674640671205147088,09:27:22,nihil.key,Africa/Tripoli,28.607859,Burmese,1970-03-27,Chile,1988-08-02T05:09:56,2020-08-16 09:21:27,Solothurn,"$40,088.10"
+41(0)766723136,Leonie Egli,CH0733460564494210758,07:23:23,sapiente.mov,Australia/Perth,38.073364,Greek,2020-07-14,Ukraine,1995-01-19T21:50:27,2022-10-24 21:26:38,Chur,"$6,335.39"
+41(0)797923491,Petar Bühlmann,CH8521701384301990801,22:51:32,molestiae.json,Europe/Brussels,-11.5215035,Afar,1980-10-03,Mozambique,1973-06-29T01:09:17,1988-11-05 02:39:49,Crans-Montana,$337.78
+41(0)783907702,Sandy Schmid,CH7941562244184903416,07:15:43,sed.flac,Asia/Ashgabat,50.386771,Ukrainian,2013-07-16,East Timor,2003-11-16T11:09:04,1997-05-19 03:13:47,Wohlen,"$9,040.17"
+41(0)780415848,Rebekka Schneider,CH6999938929814072288,15:16:42,eos.bmp,Africa/Bamako,-79.234999,Kannada,1980-03-18,Azerbaijan,1992-08-21T00:51:27,2005-02-03 22:22:12,Delsberg,$36.01
+41(0)763546494,Hélène Lüthi,CH7212757567627152220,11:43:46,qui.txt,Asia/Karachi,87.949294,Bihari languages,1995-04-12,Chad,1982-08-24T01:05:37,1972-09-07 00:43:42,Naters,$869.44
+41(0)785101775,Quentin Kägi,CH2968837381136582282,20:30:31,incidunt.css,Africa/Nouakchott,39.8109095,Pushto,2016-06-05,Switzerland,2019-01-01T04:00:50,2011-07-17 00:57:52,Muri,"$36,620.84"
+41 0774773623,Audrey Mäder,CH9718933554742601757,23:26:56,tempora.docx,Asia/Samarkand,-76.5043585,Chechen,2013-03-12,Vietnam,1989-11-10T14:53:54,2021-08-22 07:43:32,La Tour-de-Peilz,$210.34
0784446110,Hansueli Kälin,CH4089394494458800273,04:27:49,aut.odt,Africa/Bissau,78.112779,Urdu,1981-10-18,Sri Lanka,1976-01-04T06:40:06,1993-05-31 00:52:39,Risch,$66.83
+41 0762461848,Clemens Maier,CH0623394972048912551,20:48:47,pariatur.mov,Africa/Dakar,73.2528925,Hindi,2010-09-15,Sierra Leone,2005-02-18T05:42:30,1997-07-25 17:47:37,Lyss,"$61,133.51"
+41793694657,Leopold Martin,CH2360285614331942483,18:25:57,similique.js,Asia/Bishkek,46.7546735,Finnish,2014-07-17,Mozambique,1977-03-13T18:27:56,1976-08-26 21:08:01,Vernier,$63.65
+41 766130093,Marie-Laure Schoch,CH0919353113717874169,17:02:35,fuga.jpeg,Asia/Calcutta,-51.7115255,Turkmen,1977-05-30,Finland,1981-01-06T00:53:23,1979-07-15 21:41:56,Le Grand-Saconnex,"$30,495.11"
+410793236340,Geraldine Bühlmann,CH5955020827863552591,12:06:11,amet.key,Asia/Amman,-25.665734,Slovak,2004-06-10,Benin,1988-09-04T15:41:02,1980-12-24 01:27:18,Zollikon,$247.12
+410770320308,Valerio Baur,CH6954050931760502671,23:04:09,impedit.csv,America/St_Vincent,-25.019926,Central Khmer,2001-06-20,Guinea-Bissau,2019-01-06T18:01:52,1971-08-03 00:24:56,Glarus,$83.91
+41763225617,Kristin Hunziker,CH5455871514174808163,19:46:01,provident.ods,Asia/Bishkek,-9.171954,Hausa,1990-01-04,Portugal,1980-04-15T03:55:15,1984-10-23 18:47:52,Neuhausen,$65.69
+41 0760626403,Paolo Meili,CH0802068052323765629,00:49:26,labore.jpg,Asia/Rangoon,-6.5732385,Finnish,2011-11-12,Andorra,1978-11-19T06:00:49,2014-07-06 19:15:10,La Tour-de-Peilz,"$6,791.22"
+41 0797145509,Florence Wehrli,CH8844490252993370504,03:45:37,odit.docx,Africa/Bujumbura,84.7641285,Panjabi,2017-08-06,Guinea,1997-07-23T09:45:13,2017-07-27 23:24:41,Oftringen,"$16,697.47"
+41 795531751,Raffaele Tanner,CH5884040797861042031,17:22:20,fuga.xlsx,Asia/Chongqing,3.2565975,Dutch,2007-05-30,Federated States of Micronesia,1971-05-16T10:40:26,2004-04-29 11:25:25,Crans-Montana,$7.58
+41(0)777223805,Leonard Michel,CH5510266871393627399,06:18:47,quidem.txt,Pacific/Port_Moresby,-44.804496,Indonesian,2006-06-11,Latvia,1991-01-02T01:46:51,2009-10-07 12:46:30,Gossau,$7.61
+41 775180502,Kemal Wirth,CH2076580237545843897,15:11:44,tenetur.webm,Europe/Amsterdam,88.6118985,Burmese,1988-12-22,Ecuador,1977-08-12T10:10:32,1993-08-22 20:47:35,Bern,$65.42
+41796663141,Nives Wehrli,CH4384896807249012581,11:27:57,molestiae.png,Pacific/Palau,42.623326,Persian,1994-03-11,Sierra Leone,1988-09-21T18:49:07,2013-08-30 09:48:34,Meyrin,"$63,897.90"
+41(0)776191600,Lucy Felder,CH8249048313832060110,18:40:47,quasi.avi,Asia/Damascus,-18.487714,Arabic,2014-04-26,Rwanda,1978-01-01T00:23:44,2014-07-09 16:46:34,Frauenfeld,$85.83
0770807052,Paulina Bader,CH1649025287083390075,04:48:53,numquam.wav,Europe/Zagreb,67.5018745,Malagasy,1985-09-18,Brazil,2018-02-01T06:32:42,2008-05-27 10:20:29,Aigle,"$10,374.81"
+41 0764654429,Charlotte Wyss,CH8179264832237461654,08:58:34,incidunt.bmp,Pacific/Tongatapu,36.047604,Kanuri,1988-07-12,Bahrain,1992-01-11T06:22:30,1987-04-07 08:50:01,Schaffhausen,"$7,112.87"
+41(0)762050336,Filipe Egli,CH6624395915016244975,18:02:10,doloribus.mp3,Atlantic/Reykjavik,-76.6259395,Hindi,1985-05-01,Grenada,1977-11-10T07:02:46,1975-12-08 08:46:36,Cham,$49.95
+41(0)771961237,Flavia Häfliger,CH7688503968240091216,12:33:47,enim.mp3,Africa/Lubumbashi,38.2738605,Afar,1990-04-07,San Marino,2002-03-04T21:56:20,1997-07-31 23:21:40,Vevey,"$8,299.73"
+41 770730034,Renate Meili,CH3629324568950351238,06:16:23,nihil.xls,Asia/Pyongyang,-10.950266,Dzongkha,1981-01-31,Monaco,1976-11-17T17:40:27,2012-10-16 14:29:05,Flawil,$9.70
0797262630,Artan Erni,CH8751604335635647025,09:41:50,fugiat.mov,America/Grenada,50.8658335,Romanian,2003-04-17,Bhutan,1999-05-09T08:55:06,2006-12-15 04:21:22,Maur,$818.94
+41761061904,Erik Haas,CH5341822454665796358,05:02:50,quae.key,Indian/Maldives,38.6016625,Fulah,2006-04-27,El Salvador,2021-06-05T18:30:37,2013-03-31 09:52:56,Münsingen,$2.86
+410764051691,Rüdiger Wettstein,CH2563056021484044995,20:20:33,nihil.txt,America/St_Vincent,39.826570,Pushto,2012-09-17,Slovenia,1972-02-21T05:51:59,1997-12-04 11:32:18,Carouge,"$40,839.16"
+41 774855408,Khadija Bader,CH7824971616203111951,13:14:28,voluptate.js,Africa/Banjul,-74.179323,Limburgan,2003-02-18,Paraguay,2001-08-16T00:56:46,2010-02-17 12:16:39,Freiburg,$992.39
+41 783681537,István Hunziker,CH5118797981051931296,14:48:50,exercitationem.txt,America/Belize,-30.079546,Ewe,2015-07-21,Sweden,1977-07-08T13:03:32,2023-07-07 12:45:46,Veyrier,$3.51
+41 775415395,Rinor Bachmann,CH9833601104500173898,05:09:34,laboriosam.jpg,America/Santo_Domingo,83.2643795,Estonian,1977-11-17,Estonia,1998-04-20T01:21:17,2014-04-14 01:36:34,Aigle,"$5,565.69"
+410782291022,Jean-Pierre Steinmann,CH7732136309807128574,07:12:08,laudantium.pages,Asia/Saigon,-84.800189,Herero,2019-08-13,Myanmar,2021-03-05T14:41:52,2010-11-12 11:56:03,Flawil,"$9,875.20"
+41 794794373,Amalia Hug,CH9187897607592582438,00:18:13,reiciendis.pages,America/Grenada,77.815783,Malay,1996-03-14,Finland,2008-09-24T13:28:22,1982-07-20 17:56:30,Locarno,$4.90
+410794247847,Kevin Bühlmann,CH9197352776524944440,18:33:20,dolore.bmp,America/Jamaica,-11.4255985,Pushto,1995-03-16,Sierra Leone,2003-05-03T22:15:26,2012-11-13 13:23:15,Pratteln,$134.20
+41(0)781374440,Gabriele Sidler,CH7060957380183485332,17:10:30,sequi.ods,Europe/Budapest,-71.0991135,Afrikaans,2000-03-26,Vatican City,2016-06-02T23:51:55,1999-03-17 02:29:14,Illnau-Effretikon,"$42,765.85"
+41 777720962,Mihajlo Maurer,CH2378551625089109063,23:34:34,possimus.js,Africa/Kampala,-44.433725,Chinese,2010-07-19,Singapore,1973-04-27T11:45:12,1978-07-22 04:07:15,Vevey,"$1,803.31"
+41 0767487635,Petra Hafner,CH7887348589228149530,06:49:22,saepe.jpg,Europe/Riga,-4.8432665,Czech,2021-04-20,Bahrain,2019-10-17T20:13:10,1985-04-11 17:40:38,Wald,"$14,870.34"
+41(0)787122452,Lorenz Lüthi,CH1385173705879116388,01:20:22,corrupti.mov,Europe/Skopje,41.464685,Norwegian Nynorsk,1990-01-25,Niger,1988-07-22T13:05:37,1992-12-07 08:02:11,Lancy,"$35,865.29"
+410794806142,Erik Bär,CH5292236732964038586,04:39:50,fugiat.avi,Africa/Djibouti,27.8540005,Oromo,2011-02-04,East Timor,2005-02-21T21:09:52,2022-01-28 09:40:19,Veyrier,$98.39
+41790715936,Sam Brunner,CH3027810393176362326,21:49:25,culpa.pages,Asia/Vientiane,80.252491,Georgian,1984-01-27,Mauritius,2004-01-13T16:33:53,2011-01-06 10:15:01,Ebikon,"$9,863.14"
0787492997,Michael Schlatter,CH0483118359865930424,10:53:10,et.tiff,Africa/Freetown,38.785207,Yiddish,2004-01-17,Eritrea,2011-01-23T14:39:48,1987-04-05 14:44:03,Münsingen,"$7,064.10"
+41772921050,Joshua Hotz,CH5617548760060632812,20:28:33,numquam.css,Europe/Skopje,23.6161845,Czech,2014-06-23,Guatemala,1976-12-31T09:48:13,2021-11-24 20:15:42,Worb,"$57,264.22"
+41 775881695,Gabriele Maier,CH7970834578004998706,03:39:52,nihil.mp3,Africa/Abidjan,-11.9170345,Urdu,1979-08-02,New Zealand,1973-09-19T23:41:15,1980-07-29 01:47:29,Villars-sur-Glâne,"$62,129.37"
0782562642,Willi Bieri,CH6239925447562558639,08:49:57,aspernatur.wav,Africa/Banjul,6.710817,Hiri Motu,2013-02-02,Egypt,2021-08-07T22:37:39,2011-10-08 10:17:42,Zug,"$3,610.12"
+41 766351473,Predrag Wettstein,CH6099409515888709274,18:59:48,veniam.bmp,Pacific/Kosrae,-23.1947055,Tsonga,1993-10-24,South Korea,2021-09-18T06:16:54,1995-06-21 01:58:04,Liestal,$42.83
+41(0)773763217,Yvette Widmer,CH7191011288478444611,13:39:02,exercitationem.flac,Atlantic/Canary,-73.8982645,Estonian,2008-08-09,Papua New Guinea,1998-05-31T20:12:00,1985-10-31 06:43:46,Onex,$3.60
+41 0761806814,Lucas Hürlimann,CH7584882996224634835,19:29:07,accusantium.avi,Africa/Nouakchott,2.8763205,Chichewa,1977-11-14,Jamaica,1981-08-23T03:54:26,2007-10-01 12:06:03,Bellinzona,$3.06
+41764837370,Norbert Fuchs,CH8033097389929760731,06:19:55,fugiat.flac,Pacific/Port_Moresby,80.8180495,Norwegian,1990-06-18,France,1993-10-05T02:22:39,2021-06-09 20:06:42,Volketswil,$674.17
+41 767280573,Oswald Wegmann,CH5362123831050111791,11:58:27,iure.wav,Africa/Harare,47.334927,Tonga,2020-01-25,Nauru,1990-01-31T08:27:49,2008-07-28 18:22:59,Payerne,$7.23
