email,zrnr,iban,hostname,company,city,date_time,iso8601,time,pricetag,timezone,file_name,country,random_number,bank_country
carl.juncken@aol.com,JB-1914-6379-BANK,DE19660978567358635685,desktop-69.wulff.org,Rose,Rathenow,2003-10-04 17:38:11,1999-08-02T17:02:28,14:32:08,"98.298,39 €",Europe/Skopje,kaufen.avi,Südafrika,871647,DE
hassan.stoll@msn.com,JB-2980-1817-BANK,DE58603494984465624505,laptop-39.krein.de,Kensy Zobel AG & Co. OHG,Starnberg,1971-06-01 05:49:52,2000-05-03T17:03:25,09:07:56,"330,73 €",Africa/Maseru,Weg.ods,Dänemark,4,DE
frauke.huhn@gmail.com,JB-4975-1074-BANK,DE18116611887084284723,db-40.beyer.de,Reuter,Erfurt,1999-11-19 17:37:59,1995-03-10T12:00:07,10:30:18,"52.053,58 €",Pacific/Galapagos,sind.json,Kolumbien,2566132,DE
wieland.margraf@gmail.com,JB-0965-4464-BANK,DE25993993537027599147,laptop-21.jockel.de,Fliegner AG,Miltenberg,2021-11-07 00:23:06,2020-12-22T18:22:53,10:24:23,"7.284,56 €",Asia/Thimphu,Monate.xls,Malaysia,427313,DE
hilmar.ring@hotmail.com,JB-4582-2070-BANK,DE35415894733143317297,srv-56.stiebitz.de,Rädel,Wunsiedel,1971-12-05 16:03:27,2016-08-02T13:04:09,11:43:34,"49,32 €",Africa/Khartoum,Teller.odt,Mauritius,818104,DE
daria.aumann@aol.com,JB-5748-1017-BANK,DE33407331001343549049,db-92.stiffel.com,Gude,Viersen,2000-06-06 22:14:21,1979-06-18T17:44:09,03:35:31,"196,46 €",America/Bogota,leben.tiff,Kiribati,50,DE
betty.wähner@gmail.com,JB-4191-2219-BANK,DE88726756151422806988,web-72.ehlert.de,Hande Geisler GmbH,Goslar,2021-12-03 19:50:55,1982-09-26T18:36:36,13:14:44,"8.047,86 €",Pacific/Tongatapu,wir.gif,Norfolkinsel,15639558,DE
sahin.binner@hotmail.com,JB-7390-6871-BANK,DE42292387228307918451,srv-08.schwital.de,Losekann,Sonneberg,1974-05-12 22:21:15,2008-05-10T13:42:05,12:13:13,"683,83 €",America/Belize,packen.ods,Kuwait,97860348,DE
nuri.hauffer@aol.com,JB-4097-4049-BANK,DE17538027747900812925,db-78.weiss.de,Langern,Böblingen,1993-03-25 15:43:38,2015-05-23T05:16:41,21:31:19,"7,39 €",Asia/Damascus,Licht.csv,St. Barthélemy,94345,DE
hans-theo.hettner@msn.com,JB-2779-0274-BANK,DE52159400356287257381,srv-86.weimer.com,Bender,Rottweil,1983-06-15 12:27:20,2014-12-31T15:57:27,10:00:21,"89,86 €",Africa/Ceuta,Land.numbers,Mikronesien,88330590,DE
claus.scholtz@hotmail.com,JB-0227-5069-BANK,DE30439075584708862332,web-02.klemm.de,Lindau,Helmstedt,2014-07-12 11:24:40,2003-08-08T04:20:36,02:54:49,"79,69 €",Europe/Vienna,wünschen.css,Martinique,253049,DE
uschi.stumpf@msn.com,JB-7984-4766-BANK,DE64921150025914790845,db-40.bien.de,Preiß Schinke AG,Cuxhaven,1975-12-21 09:43:05,1993-03-04T10:04:03,02:32:43,"63,65 €",Africa/Lusaka,draußen.mp4,Palau,45,DE
peter.eigenwillig@hotmail.com,JB-1147-7616-BANK,DE53362334139142378251,laptop-87.rohleder.com,Hertrampf,Plauen,1996-05-08 03:49:56,1978-10-02T14:44:55,00:08:52,"39.783,38 €",America/Belize,Hilfe.mp3,Panama,44789095,DE
benno.hein@msn.com,JB-5252-2962-BANK,DE94589242882756576923,srv-58.winkler.com,Schomber,Luckau,1984-10-13 07:55:16,2004-10-24T22:43:52,01:52:00,"53.808,82 €",Africa/Johannesburg,danach.jpeg,Kirgisistan,27054752,DE
karlfried.jäkel@proton.ch,JB-5764-1035-BANK,DE72137763680916918992,desktop-78.bruder.de,Knappe KGaA,Kulmbach,2016-06-23 02:37:41,1976-08-05T14:41:38,19:47:57,"8,79 €",Pacific/Galapagos,nennen.doc,Mongolei,239127,DE
august.tröst@gmail.com,JB-5316-3850-BANK,DE81763986918145236806,lt-43.gorlitz.net,Stolze OHG mbH,Deggendorf,2019-09-07 19:01:23,2019-03-14T23:09:45,14:43:35,"59.661,32 €",America/Nassau,gab.wav,Indonesien,5,DE
marijan.jopich@gmx.de,JB-2822-6985-BANK,DE36083134629424609347,laptop-83.tlustek.com,Salz Gorlitz GmbH & Co. OHG,Donaueschingen,1981-04-03 00:13:52,2020-09-29T16:10:46,15:30:53,"401,96 €",Africa/Gaborone,Lehrerin.jpeg,Vereinigte Staaten,6070658,DE
jessika.otto@aol.com,JB-3123-5907-BANK,DE84666280806957155093,email-94.baerer.com,Ring,Zschopau,1976-11-03 14:26:30,1980-10-07T05:06:10,07:16:29,"6,47 €",Asia/Muscat,Papa.csv,Argentinien,3978477,DE
christof.hethur@hotmail.com,JB-4943-4122-BANK,DE60438112483238431172,email-32.hartung.de,Bonbach Klemt Stiftung & Co. KGaA,Karlsruhe,1978-04-14 17:24:34,1974-03-23T13:37:45,09:40:10,"64.303,29 €",Asia/Tokyo,singen.pages,Kasachstan,5484,DE
sofia.seip@msn.com,JB-3766-1794-BANK,DE20781845258583344095,db-15.mielcarek.com,Scheibe,Querfurt,1977-07-31 19:01:00,1975-12-05T01:53:43,18:07:23,"9.976,77 €",Pacific/Funafuti,Loch.jpeg,St. Barthélemy,29389838,DE
ines.weihmann@hotmail.com,JB-1487-1416-BANK,DE51864444339206455062,email-94.reising.com,Stumpf GbR,Kleve,2005-01-08 12:59:08,1977-03-30T04:03:46,04:22:42,"2,78 €",Europe/Vaduz,rund.mp3,Samoa,48,DE
heinz-walter.barkholz@hotmail.com,JB-4800-4846-BANK,DE57882655668157421121,web-93.juncken.de,Söding Spieß KG,Bernburg,1980-02-18 22:13:20,2016-08-13T16:23:07,00:23:23,"24,56 €",Europe/Berlin,glauben.txt,Côte d’Ivoire,13,DE
ansgar.jäkel@aol.com,JB-5265-4034-BANK,DE19414131012571356807,laptop-96.hein.com,Eigenwillig,Augsburg,2020-04-06 12:56:07,1997-07-29T22:53:58,05:07:28,"19,88 €",America/Argentina/Tucuman,Zeit.png,Mauretanien,1,DE
sylvie.biggen@msn.com,JB-7949-2392-BANK,DE14053230541882452098,web-87.hecker.de,Killer OHG mbH,Großenhain,2003-08-25 09:53:00,1979-07-11T18:40:12,01:59:05,"67,64 €",Africa/Brazzaville,früher.avi,Niue,378,DE
josephine.börner@hotmail.com,JB-2062-1199-BANK,DE31051237194328419991,db-25.vogt.com,Seidel Heuser AG,Eisenberg,1978-11-19 03:14:00,2006-05-23T10:01:56,04:40:03,"9.720,18 €",Asia/Muscat,da.tiff,Montserrat,897172242,DE
willy.carsten@gmx.de,JB-7267-1492-BANK,DE37798746600471648024,desktop-23.freudenberger.com,Bender Schottin e.G.,Warendorf,1981-07-25 05:01:28,1977-02-22T04:48:55,15:11:06,"96.905,99 €",Europe/Vienna,Stadt.webm,Irak,97970,DE
berta.reinhardt@proton.ch,JB-3457-2675-BANK,DE86774531853535562215,laptop-28.ernst.com,Hertrampf Dehmel KG,Saulgau,2021-07-04 20:34:05,2014-05-13T02:19:45,04:10:18,"91.885,83 €",America/Guyana,drehen.wav,Tansania,1495445,DE
auguste.röhrdanz@gmail.com,JB-3735-1243-BANK,DE57764124200660164506,web-33.roht.com,Hauffer Hamann KGaA,Füssen,1972-12-10 14:46:54,1970-11-15T18:09:20,05:07:52,"1,46 €",America/Chihuahua,an.css,Türkei,8788,DE
hüseyin.vollbrecht@hotmail.com,JB-2279-1683-BANK,DE08696021637587778795,laptop-50.jaehn.com,Seifert Trubin AG & Co. KGaA,Jena,1983-06-03 05:00:57,1972-04-10T22:17:41,12:18:34,"42,02 €",Africa/Ceuta,beim.mp4,Kenia,635441246,DE
eugenia.hande@hotmail.com,JB-3895-4009-BANK,DE72345595125210863814,desktop-18.keudel.net,Blümel Klapp AG & Co. KG,Miltenberg,1984-10-02 13:13:07,1971-05-10T21:00:29,10:47:01,"225,16 €",Europe/Oslo,zehn.json,Slowenien,410182795,DE
karl.wieloch@msn.com,JB-1343-1494-BANK,DE47612452715915887913,web-83.rogner.com,Seifert AG & Co. KGaA,Dinkelsbühl,1996-07-19 00:59:15,1997-06-22T22:06:33,15:33:55,"0,40 €",Asia/Hovd,krank.key,Iran,250700401,DE
inka.junken@msn.com,JB-0551-1030-BANK,DE70736132479167983563,desktop-29.roht.com,Seifert Müller AG,Großenhain,2003-08-07 02:02:38,2000-11-04T14:33:14,05:31:11,"2,67 €",America/Nassau,Maus.pdf,Sri Lanka,3017530,DE
rudi.mentzel@aol.com,JB-4469-7063-BANK,DE54780244545510243959,email-44.rust.com,Gnatz,Mühlhausen,2014-01-07 23:43:32,1988-09-05T19:01:16,00:55:36,"61,56 €",Europe/Stockholm,Himmel.webm,Südafrika,74028,DE
friedlinde.trapp@proton.ch,JB-1572-0534-BANK,DE72368385317917505737,laptop-61.liebelt.net,Ullrich Heydrich AG,Pegnitz,1991-11-06 15:32:38,2000-05-14T19:34:22,14:19:31,"597,64 €",Europe/Budapest,Stück.gif,Marokko,28,DE
reginald.dietz@proton.ch,JB-6710-3978-BANK,DE23052165653713364127,desktop-79.schmidt.com,Kreusel,Torgau,1989-07-07 05:38:08,2010-02-24T11:33:31,00:20:02,"105,66 €",Africa/Khartoum,Blume.docx,Komoren,363288,DE
hans-henning.textor@proton.ch,JB-1542-6776-BANK,DE64433498801449852580,email-56.pruschke.de,Schwital KG,Roth,1973-06-20 07:42:34,2009-01-26T21:22:17,18:54:56,"33,97 €",America/Lima,Bett.mov,Laos,90191,DE
sibylle.bolander@gmx.de,JB-1309-7487-BANK,DE08617489654099564065,srv-33.stahr.de,Dietz Löffler AG,Hannoversch Münden,2003-11-06 07:51:49,1983-04-27T11:30:25,22:39:43,"431,43 €",Africa/Malabo,Mama.wav,Libyen,1652255,DE
peer.weller@hotmail.com,JB-2337-6653-BANK,DE70542754457707332963,laptop-48.christoph.com,Stahr,Eutin,1989-01-23 14:39:20,1970-12-07T15:21:43,19:17:05,"2,01 €",Asia/Tbilisi,gerade.mp3,Armenien,7,DE
ludmilla.graf@msn.com,JB-5181-2874-BANK,DE80772847444170612666,email-10.drewes.net,Klingelhöfer,Düren,1999-09-07 13:48:40,1998-02-01T09:17:19,06:17:07,"90,74 €",Africa/Tunis,halbe.html,Tschad,431,DE
wilma.fröhlich@gmail.com,JB-0999-6084-BANK,DE48888258885898200078,desktop-83.saeuberlich.de,Förster Henk GmbH,Göttingen,1973-07-05 12:55:47,2000-07-22T10:50:16,15:05:58,"90.944,14 €",Europe/Tirane,holen.odt,Osttimor,710,DE
marlen.dippel@gmx.de,JB-5388-0333-BANK,DE51473071463428165556,web-48.schuchhardt.net,Ebert,Bremervörde,1970-12-03 22:32:34,1983-06-13T00:55:11,13:20:39,"9.077,50 €",Europe/Copenhagen,rot.txt,Belize,196385,DE
stjepan.förster@proton.ch,JB-5144-3849-BANK,DE61396788674624758397,laptop-54.rosenow.de,Tröst GbR,Feuchtwangen,1976-05-21 17:18:11,2017-12-17T12:22:42,03:18:39,"6,54 €",Africa/Ouagadougou,Mädchen.mp3,Angola,956960,DE
gundi.rosenow@msn.com,JB-6275-2067-BANK,DE21117660247717513047,email-25.mielcarek.com,Rust GmbH & Co. KGaA,Paderborn,1980-09-27 20:37:40,1984-07-13T15:30:41,08:22:34,"1,08 €",Africa/Bamako,mein.webm,Bulgarien,732500,DE
magret.spieß@gmx.de,JB-7445-0314-BANK,DE86207383144156978669,web-33.rogge.com,Patberg,Burgdorf,1994-08-08 22:24:02,1987-12-10T04:46:08,15:03:47,"1.261,33 €",Europe/Bratislava,wünschen.gif,Simbabwe,9,DE
ferdi.ditschlerin@proton.ch,JB-0411-3741-BANK,DE65668746192587845112,web-87.bohnbach.org,Jüttner Roskoth AG & Co. OHG,Aurich,1978-11-26 01:38:55,1999-09-13T11:42:48,09:06:32,"8.955,20 €",America/Barbados,gegen.avi,Österreich,629971627,DE
cornelia.eimer@hotmail.com,JB-6778-7157-BANK,DE88653766078926004120,laptop-52.pohl.com,Thanel e.G.,Erfurt,1989-10-07 04:13:16,1973-08-13T23:46:04,00:14:49,"0,23 €",America/Belize,nie.txt,Neuseeland,2,DE
werner.anders@hotmail.com,JB-0503-4084-BANK,DE81297893226931515089,srv-43.fritsch.org,Hamann GmbH,Uffenheim,2014-09-21 06:51:57,1978-12-23T18:06:29,17:28:01,"40.408,37 €",Europe/Stockholm,mich.odt,San Marino,5,DE
dimitrios.weihmann@gmx.de,JB-2164-1262-BANK,DE95645866431870153182,web-45.fritsch.com,Radisch KG,Zschopau,1983-05-22 18:02:48,2016-09-20T12:31:29,17:08:53,"16.036,07 €",Africa/Sao_Tome,werfen.key,Nordmazedonien,3007,DE
angelica.lorch@aol.com,JB-1154-5631-BANK,DE98533418437566213986,email-57.eimer.com,Zobel,Schmölln,1983-05-09 15:47:22,1972-01-20T00:32:31,04:03:30,"3.207,31 €",America/Guyana,Stadt.webm,Myanmar,1906,DE
victor.putz@msn.com,JB-0504-1101-BANK,DE31076337995926211115,srv-96.misicher.de,Ullrich Dippel GmbH,Sonneberg,2002-06-27 15:54:20,2023-07-20T09:50:40,20:55:24,"46,03 €",America/Panama,Baum.ppt,Tokelau,9086,DE
silja.heidrich@aol.com,JB-5422-5072-BANK,DE83780708131786228704,srv-31.schueler.com,Ernst GmbH & Co. KG,Erbisdorf,1994-06-24 09:59:09,2018-12-29T01:44:15,12:31:37,"28.267,55 €",Africa/Khartoum,nach.mp3,Russische Föderation,4,DE
sylvie.wohlgemut@gmx.de,JB-3729-3542-BANK,DE78909163600390826015,srv-07.schinke.de,Huhn Salz AG,Bayreuth,2004-12-16 01:18:03,1979-09-29T09:02:30,04:26:32,"9.058,53 €",Asia/Kabul,um.xlsx,Finnland,20133265,DE
liesa.adler@proton.ch,JB-7720-0152-BANK,DE33355368530059384603,web-58.scheel.de,Meyer,Zeulenroda,1979-03-30 15:14:44,1997-12-08T00:24:18,05:52:34,"606,19 €",Pacific/Easter,schlimm.flac,Sri Lanka,17594895,DE
hans peter.spieß@gmx.de,JB-3665-2460-BANK,DE19877238549751907255,db-60.wirth.de,Siering Kitzmann GmbH & Co. OHG,Prenzlau,1976-07-30 03:17:07,1970-12-12T17:57:05,14:25:53,"1,37 €",America/Guatemala,Arzt.webm,Kamerun,62018187,DE
slavica.roskoth@hotmail.com,JB-6789-1077-BANK,DE09867763718950407535,email-36.reichmann.de,Vollbrecht Radisch AG,Coburg,1997-04-25 14:39:31,1973-11-17T22:24:08,19:49:42,"153,94 €",Asia/Baghdad,die.txt,Falklandinseln,36055411,DE
hülya.rädel@gmx.de,JB-2621-3862-BANK,DE81900278920146442001,email-89.graf.de,Scholz,Torgau,1998-02-14 11:08:53,1994-02-14T14:10:53,10:46:47,"8,23 €",Asia/Saigon,vier.bmp,Isle of Man,13,DE
giovanna.preiß@gmail.com,JB-0490-3745-BANK,DE41899327545347117451,desktop-16.reichmann.com,Hellwig,Mellrichstadt,1997-07-07 12:10:56,1994-07-23T03:57:00,06:58:01,"568,68 €",Europe/Vilnius,Spiel.png,Côte d’Ivoire,30810,DE
oliver.lehmann@msn.com,JB-5484-4690-BANK,DE70616742300726022524,laptop-51.wirth.com,Trubin Zobel GmbH & Co. OHG,Ahaus,1995-08-22 16:52:23,2002-05-23T21:13:38,12:10:07,"6.915,04 €",Asia/Dubai,hören.tiff,Tschad,1825,DE
lina.birnbaum@proton.ch,JB-3374-3872-BANK,DE36227362637354333125,desktop-11.koch.de,Stey,Aschaffenburg,2009-05-22 18:34:57,2006-01-20T12:22:50,18:45:59,"692,56 €",Asia/Aden,heißen.gif,Suriname,64127,DE
edmund.wagner@gmx.de,JB-5069-2665-BANK,DE26706801823688423450,laptop-05.auch.com,Hofmann,Recklinghausen,1980-11-15 02:25:05,2007-08-22T17:59:45,18:45:54,"94.430,42 €",Africa/Niamey,schwimmen.json,Nördliche Marianen,2,DE
hans-michael.kranz@aol.com,JB-6248-0803-BANK,DE78617683832797466127,lt-99.sorgatz.com,Holzapfel,Recklinghausen,1980-11-21 12:59:56,2007-05-23T03:37:09,23:47:03,"99.193,45 €",America/Guatemala,Zeitung.avi,Portugal,18389372,DE
thomas.textor@gmail.com,JB-1883-7734-BANK,DE48447179860337683063,web-23.ritter.org,Hesse,Borna,1998-08-28 03:01:31,2022-07-29T07:52:56,06:30:23,"257,73 €",Asia/Tbilisi,Essen.xlsx,Fidschi,84082927,DE
corinna.bärer@aol.com,JB-1738-0875-BANK,DE43071563981226938067,web-05.doering.de,Heintze AG & Co. OHG,Weimar,1983-01-24 17:17:00,2013-02-03T18:11:20,19:50:33,"4.151,26 €",Europe/Vaduz,ging.mp3,Niederländische Antillen,727060,DE
stefani.jockel@msn.com,JB-3120-1857-BANK,DE11966041511367784157,web-30.muelichen.com,Drub Harloff AG,Luckau,1993-02-04 17:31:56,1976-07-15T12:33:41,20:18:15,"59.713,10 €",Australia/Lord_Howe,lesen.csv,Salomonen,855413,DE
ilija.hermann@gmail.com,JB-4607-4684-BANK,DE78192481559758771758,desktop-20.stadelmann.de,Döhn Atzler KG,Vohenstrauß,1976-01-03 19:34:40,1977-10-16T07:38:28,02:54:28,"6,54 €",Europe/Stockholm,tragen.wav,Malediven,86670,DE
veronika.wulf@msn.com,JB-4176-2580-BANK,DE32831621633256119115,srv-07.taesche.com,Schuster,Klötze,1983-04-28 04:55:08,2003-01-06T07:23:13,18:53:12,"87,83 €",Africa/Bissau,Welt.mp3,Guyana,662494,DE
marie.wirth@gmail.com,JB-5421-0253-BANK,DE37054617604984317492,lt-83.mentzel.de,auch Schlauchin,Flöha,1973-11-01 07:03:07,1986-10-21T20:46:20,15:29:41,"87,11 €",America/Santo_Domingo,halbe.html,Brasilien,82625,DE
gülay.rogner@hotmail.com,JB-4098-7185-BANK,DE52036441924467922484,email-38.mies.de,Löffler,Bernburg,1995-04-17 14:59:23,2003-03-01T09:00:00,13:55:03,"53.646,63 €",Africa/Sao_Tome,schwimmen.flac,Botsuana,896413894,DE
arnim.drub@gmx.de,JB-6549-5720-BANK,DE23398124781983559058,srv-10.riehl.com,Scholtz Preiß AG & Co. KG,Tübingen,2021-10-02 04:54:53,2006-09-07T13:47:47,21:04:48,"509,32 €",Europe/Berlin,nichts.jpg,Angola,890424656,DE
matthias.geisler@aol.com,JB-1022-7154-BANK,DE11758409806470426201,laptop-47.hande.de,Bien Zimmer KG,Stade,1977-11-20 22:10:06,2001-09-28T22:35:07,07:46:43,"6.597,95 €",America/Asuncion,öffnen.flac,Mauretanien,1241,DE
maya.fischer@hotmail.com,JB-2444-0836-BANK,DE42521549521625656749,lt-04.haenel.com,Nohlmans Nerger Stiftung & Co. KGaA,Gardelegen,1980-06-07 16:09:37,1972-09-01T18:07:51,03:08:22,"42,65 €",Asia/Bahrain,gar.wav,Jamaika,68478182,DE
heike.staude@proton.ch,JB-1976-2126-BANK,DE17771804773858405716,db-68.conradi.de,Scholtz,Wolfratshausen,2022-12-07 08:40:03,1970-08-31T20:41:01,20:15:32,"4,12 €",America/Bogota,wir.bmp,Liberia,16880,DE
heinz-günther.fliegner@aol.com,JB-4275-3880-BANK,DE76993086092939471319,srv-19.hoefig.com,Kensy Christoph OHG mbH,Kötzting,2001-05-11 10:33:56,2006-06-29T21:42:35,22:50:33,"7,63 €",Africa/Asmera,Geschichte.jpeg,Irak,62055156,DE
nadine.harloff@gmail.com,JB-4632-2356-BANK,DE12679340627930959869,laptop-96.girschner.de,Schulz,Wolfach,2000-03-14 16:33:02,2014-02-07T15:18:54,12:28:58,"37.484,31 €",Europe/Kiev,nach.ppt,Honduras,41004,DE
sigfried.jungfer@gmx.de,JB-6094-4936-BANK,DE34090165582214688797,srv-66.etzler.com,Hande,Stuttgart,2011-02-22 06:48:42,2015-11-18T00:58:15,09:14:35,"5.326,08 €",Pacific/Galapagos,nimmt.webm,Niue,607230198,DE
kata.becker@aol.com,JB-6318-2424-BANK,DE46682578187152912087,web-65.roht.de,Kallert OHG mbH,Freising,1970-02-04 17:46:14,2005-11-06T21:19:47,22:39:15,"87.321,65 €",Asia/Rangoon,setzen.tiff,Pitcairn,793,DE
lars.weiß@proton.ch,JB-2799-5660-BANK,DE91095833847035460819,web-05.nette.com,Graf,Eichstätt,2004-07-27 13:56:44,2002-02-26T10:09:43,07:05:58,"60,50 €",Europe/Helsinki,die.csv,El Salvador,603851778,DE
willibald.knappe@gmail.com,JB-7793-4749-BANK,DE46028309834047237210,desktop-34.baum.net,Tlustek Fiebig e.V.,Eisenach,2010-05-19 14:29:06,2000-02-09T02:52:54,06:59:45,"4.594,56 €",Africa/Tunis,Finger.odp,Kambodscha,941,DE
magret.trüb@proton.ch,JB-4146-4604-BANK,DE91089589184364784544,desktop-79.pohl.com,Römer,Sonneberg,1986-02-17 23:26:10,1977-10-09T09:34:38,05:08:55,"36,58 €",America/Tegucigalpa,bald.bmp,Myanmar,721459311,DE
raymund.grein groth@hotmail.com,JB-3509-1385-BANK,DE90402753131994208137,email-10.matthaei.de,Hermighausen Mentzel GmbH & Co. OHG,Wesel,1983-04-16 17:05:12,1970-02-23T16:44:24,19:37:34,"25.160,81 €",Africa/Ouagadougou,Fenster.png,St. Helena,355670788,DE
mirjana.biggen@gmx.de,JB-0252-2384-BANK,DE64352571556056834171,srv-04.wernecke.de,Fröhlich Meister GbR,Arnstadt,2003-12-10 08:43:28,2015-04-04T09:44:01,11:34:16,"3,53 €",Asia/Karachi,neben.flac,Australien,3606,DE
mara.klingelhöfer@proton.ch,JB-0798-5962-BANK,DE23221799880323235581,srv-63.hoefig.org,Heß Neuschäfer AG,Demmin,1997-09-20 16:29:35,1982-05-20T08:20:33,15:47:04,"5.525,32 €",America/Panama,wahr.css,Äthiopien,58,DE
theodoros.ehlert@hotmail.com,JB-7268-1439-BANK,DE65715944764675910601,laptop-73.hermighausen.org,Berger GmbH & Co. KG,Wernigerode,2009-07-16 17:06:52,1972-11-25T02:56:36,15:14:47,"95,68 €",Africa/Harare,gelb.json,Turks- und Caicosinseln,785770347,DE
inna.kohl@hotmail.com,JB-6271-4887-BANK,DE85651994660994307151,db-04.fechner.com,Bärer Linke GmbH,Aurich,2014-08-14 01:38:35,1997-10-20T06:37:23,20:52:45,"851,62 €",Asia/Thimphu,Rad.mp4,Ruanda,12,DE
marie-louise.hänel@proton.ch,JB-6358-1406-BANK,DE14367123340752808585,desktop-85.faust.de,Hoffmann,Oberviechtach,1971-09-30 09:19:10,1982-08-08T17:56:56,09:32:52,"7.033,06 €",Africa/Blantyre,Meer.mp3,Sudan,713,DE
henry.staude@aol.com,JB-1899-3045-BANK,DE39809269956972447929,laptop-63.kohl.com,Lübs GmbH,Altötting,2012-05-13 05:57:50,1979-07-09T23:44:07,18:50:46,"22,53 €",Europe/Belgrade,lieb.doc,Gambia,70,DE
zlatko.dietz@gmail.com,JB-2439-1001-BANK,DE52827373879208595590,desktop-69.pruschke.com,Schweitzer AG,Bremervörde,1974-12-15 03:06:28,1991-11-05T18:47:58,04:31:54,"17,71 €",Asia/Thimphu,sehr.webm,Ghana,1013692,DE
elwira.weitzel@msn.com,JB-0966-5719-BANK,DE77166288659576733961,laptop-32.barth.com,Zahn,Ebern,2009-05-04 03:03:07,2018-06-14T20:45:52,01:06:20,"23.799,91 €",Africa/Dar_es_Salaam,gestern.mp3,Mauritius,7,DE
ernestine.pieper@gmail.com,JB-6594-4082-BANK,DE06094985788596042692,email-51.berger.net,Wilms KG,Hohenmölsen,2006-02-07 10:27:46,2006-12-29T21:34:49,01:29:47,"97,30 €",Africa/Brazzaville,Weg.csv,Äußeres Ozeanien,310065214,DE
herwig.bolzmann@gmail.com,JB-3653-4705-BANK,DE96597546172789776442,email-96.schweitzer.com,Eckbauer Döhn AG & Co. KGaA,Leipziger Land,1986-04-17 08:48:44,2019-05-22T03:13:21,06:11:52,"84,44 €",Africa/Maseru,sehen.csv,Gabun,3974,DE
henning.geisler@gmail.com,JB-6048-3488-BANK,DE18281513886806432003,desktop-45.ernst.com,Gumprich Ullrich OHG mbH,Malchin,2004-03-21 07:19:21,1988-10-25T02:16:51,13:02:30,"15,14 €",Asia/Dhaka,Tisch.js,Fidschi,799568,DE
marlen.beyer@gmx.de,JB-2808-2497-BANK,DE02006237636157576930,web-34.klapp.com,Kensy,Kusel,2022-02-05 02:59:01,1981-08-30T09:04:55,12:57:29,"7.866,51 €",Africa/Ouagadougou,reiten.js,Sonderverwaltungszone Macao,362398557,DE
regina.gorlitz@hotmail.com,JB-6664-4259-BANK,DE80897187349843995640,laptop-63.hethur.de,Aumann Stiftung & Co. KG,Amberg,1980-09-29 02:42:36,2022-06-30T08:53:46,14:38:59,"65.351,42 €",Asia/Qyzylorda,Name.xls,Kuba,72381,DE
