address,zrnr,fullname,bank_country,date,city,mac_address,latitude,date_time,language_code,pricetag,file_name,company,random_number,country,time,timezone
"Grafstrasse 30
3091 Meilen",JB-7035-0129-BANK,Augusto Gerber,CH,1977-07-12,Montreux,ce:b9:5f:18:fd:e1,47.4151855,1980-11-26 19:56:55,ff,"$32,921.96",illo.flac,"Pfister, Bühlmann and Leunberger",56869,Turkey,05:35:08,America/Managua
"Gerberstrasse 3
7925 Ittigen",JB-2390-1925-BANK,Cinzia Weber,CH,1976-10-19,Binningen,9e:0e:96:21:42:b5,-86.0492115,2000-01-16 18:52:03,ne,$73.78,excepturi.wav,Baumgartner Ltd,1,Solomon Islands,19:50:05,Africa/Luanda
"Schürchstrasse 937
2753 Männedorf",JB-2488-0600-BANK,Ayla Suter,CH,2001-04-04,Olten,cc:8f:6a:12:62:e5,-59.2313365,1993-10-01 22:30:43,tt,$523.53,occaecati.wav,Steinmann-Rey,436889798,Luxembourg,02:06:51,Africa/Luanda
"Toblerstrasse 1
4659 Muttenz",JB-3599-1945-BANK,Eugenio Knecht,CH,2015-12-08,Wetzikon,3b:ce:91:b6:77:cd,44.3075325,2000-08-29 23:45:35,ha,$0.99,possimus.wav,Eichenberger-Walder,37,Estonia,03:48:49,Asia/Beirut
"Hodelstrasse 16
9961 Wohlen",JB-7648-7288-BANK,Alex Zimmermann,CH,1990-12-01,Kloten,ac:08:1a:6d:97:fc,-76.0176685,1978-07-02 02:19:26,az,"$89,685.43",eius.mp3,Zbinden-Kägi,45243732,Samoa,19:21:01,America/La_Paz
"Herzogstrasse 26
8359 Schaffhausen",JB-2473-3156-BANK,Aurélie Hofstetter,CH,2005-06-20,Burgdorf,2a:09:6a:cf:d2:e8,89.563298,2005-05-11 05:32:37,rw,$303.88,accusamus.bmp,"Brunner, Schaub and Kaufmann",6226362,Russia,10:35:39,Australia/Melbourne
"Kernstrasse 5
6671 Morges",JB-7775-6571-BANK,Tom Rey,CH,2012-01-09,Crans-Montana,b2:a6:37:63:0b:12,78.967166,1975-03-15 04:07:57,fy,$165.58,atque.avi,Zimmermann-Blum,7113,North Korea,14:58:20,Europe/Podgorica
"Grossstrasse 520
4315 Bülach",JB-3279-2223-BANK,Matthew Felder,CH,1976-05-30,Aesch,6e:04:ab:9f:37:40,20.4229085,1974-06-04 14:43:43,st,$301.50,iusto.mp3,Zingg-Widmer,219526236,South Korea,01:55:26,Asia/Katmandu
"Hoferstrasse 87
7271 Oftringen",JB-7981-2419-BANK,Astrid Ott,CH,2019-07-04,Meilen,f1:2a:c8:a4:e3:3d,28.9229295,2001-02-05 17:05:52,nr,$1.93,perspiciatis.flac,Zehnder LLC,221,Angola,19:29:25,Asia/Bahrain
"Kellerstrasse 882
2141 La Chaux-de-Fonds",JB-3027-2619-BANK,Viktoria Stocker,CH,2020-01-03,Zürich,25:46:9d:1e:bc:40,-21.6055075,1991-04-23 03:40:09,en,$93.79,numquam.jpeg,Lehmann-Herzog,34350072,Thailand,21:30:07,Atlantic/Azores
"Stettlerstrasse 39
4458 Wädenswil",JB-5228-3057-BANK,Deniz Schaller,CH,2014-03-21,Zug,59:9d:ca:7a:7e:b4,57.0863465,1974-06-23 00:42:49,ts,$52.28,dolorem.png,Stucki-Schoch,404266,Qatar,19:01:28,Africa/Abidjan
"Beckstrasse 4
5324 Glarus",JB-7341-5521-BANK,Hanna Bieri,CH,1992-01-29,Cham,7b:1f:3d:d4:aa:3c,-26.012669,2015-03-11 02:25:18,sw,$52.41,laborum.odp,Leu and Sons,6,Guatemala,03:34:57,Europe/Vilnius
"Schärerstrasse 4
4197 Amriswil",JB-0851-3353-BANK,Roxane Wettstein,CH,1991-02-25,Morges,e4:c1:47:9f:45:94,2.8497655,2004-11-07 07:57:45,pap,"$70,272.95",nobis.js,Hauser-Staub,611426321,Pakistan,09:28:13,Africa/Cairo
"Meierstrasse 107
5680 Brugg",JB-2131-3329-BANK,Géraldine Hunziker,CH,1989-11-17,Lenzburg,64:b5:23:eb:32:91,-76.575105,2004-10-30 02:46:33,hsb,$96.89,qui.mp3,"Bernasconi, Wirth and Gasser",841950,Albania,22:10:49,Asia/Amman
"Huberstrasse 44
3854 Horw",JB-1985-1649-BANK,Patrick Baumann,CH,1980-02-24,Liestal,ac:c2:cb:71:c4:df,56.2836625,1985-07-27 17:41:18,cy,$436.33,molestiae.mov,"Vogel, Keller and Berger",23,Eritrea,04:31:30,Asia/Tokyo
"Kuhnstrasse 45
9814 Davos",JB-4037-0412-BANK,Leonora Wyss,CH,1976-06-08,Thun,a2:2a:fb:f0:3b:bd,36.929039,2020-11-06 13:15:22,ps,$1.80,consequatur.png,Schwab-Bühler,9588294,SÃ£o TomÃ© and PrÃ­ncipe,03:29:49,Africa/Sao_Tome
"Forsterstrasse 2
3260 Naters",JB-3453-1315-BANK,Diego Wirth,CH,1992-04-08,Chur,4e:14:98:a3:f0:d5,49.4344265,2014-06-16 17:17:02,gd,$927.84,nulla.gif,"Wagner, Baumgartner and Geiger",21459,Palau,01:24:23,Africa/Kampala
"Zbindenstrasse 92
2601 Brig-Glis",JB-6951-0389-BANK,Sophia Bieri,CH,1997-04-22,Wald,1a:34:ea:b7:bd:c1,28.057482,2009-08-02 14:59:59,hu,"$67,004.07",ex.webm,Hürlimann-Kern,955745295,Guyana,00:25:03,Africa/Bangui
"Bättigstrasse 54
7405 Risch",JB-7950-3434-BANK,Alexandre Wirth,CH,2000-02-01,Bulle,27:e8:11:ee:19:86,29.860494,2005-06-26 05:22:14,sc,"$6,551.26",illo.ods,Egli LLC,1305,Dominican Republic,17:45:37,Asia/Tbilisi
"Studerstrasse 2
8332 Spreitenbach",JB-0850-6852-BANK,Annelies Schlatter,CH,2020-06-18,Wil,19:f5:f0:c8:88:00,84.357930,2009-03-04 00:04:06,apn,"$97,694.70",laborum.numbers,Eugster LLC,839261749,Uganda,01:17:43,Asia/Kuwait
"Maurerstrasse 2
2589 Kriens",JB-5097-3761-BANK,Gökhan Zollinger,CH,2004-12-23,Opfikon,87:f1:9d:08:05:8d,26.4895925,2012-04-02 22:09:19,an,"$47,767.71",corporis.json,Wettstein and Sons,7889,Solomon Islands,00:08:35,Asia/Beirut
"Käserstrasse 74
4361 Emmen",JB-3697-5455-BANK,Oscar Schumacher,CH,1990-10-19,Bernex,ec:90:b1:e0:e5:68,87.1018875,1998-12-24 20:49:57,an,"$9,193.28",expedita.wav,Bühler-Ott,743151,Oman,13:29:23,Asia/Tbilisi
"Wüthrichstrasse 77
8917 Risch",JB-5857-0945-BANK,Aurore Zbinden,CH,2023-06-19,Belp,eb:3b:98:b6:60:33,-84.574520,1979-05-19 23:12:03,sl,$757.53,quasi.avi,Hofstetter Inc,408121,Denmark,08:33:41,Pacific/Tongatapu
"Gutstrasse 43
1245 Burgdorf",JB-0589-5227-BANK,Lian Gfeller,CH,2013-06-21,Grenchen,1a:72:c6:ab:fc:77,61.1603765,2021-11-17 15:15:55,yi,$7.86,consequuntur.mp4,Betschart-Kohler,44311674,Marshall Islands,14:46:17,Africa/Maseru
"Eichenbergerstrasse 443
2821 Liestal",JB-4170-0863-BANK,Michele Erni,CH,2000-06-15,Belp,e8:67:49:12:40:35,-40.666355,2017-12-01 21:42:52,ms,$21.75,tempora.js,Bianchi-Meyer,6,Guyana,17:54:38,Asia/Bangkok
"Schenkstrasse 3
7248 Binningen",JB-2541-3729-BANK,Uwe Gut,CH,1987-01-13,Aigle,26:0e:1d:6f:68:51,54.532390,1987-05-05 07:19:22,is,$787.54,animi.tiff,Zollinger Group,99656816,Romania,21:41:50,Africa/Conakry
"Felberstrasse 8
5663 Arth",JB-7648-5065-BANK,Shpresa Schmid,CH,2014-05-17,Ebikon,00:a5:67:62:85:62,-53.520915,1978-05-20 12:29:27,my,$0.81,nulla.doc,Felber and Sons,31150,Egypt,14:42:39,America/Nome
"Sutterstrasse 70
1467 Ebikon",JB-6497-4254-BANK,Rui Kälin,CH,1987-05-21,Hinwil,00:c1:ce:92:ba:d8,35.0461185,2000-11-25 11:43:06,bs,"$2,246.59",nisi.gif,Senn-Ott,42,United Kingdom,01:14:05,America/Montevideo
"Maurerstrasse 3
5574 Weinfelden",JB-1597-2540-BANK,Azra Wehrli,CH,2009-10-16,Liestal,b7:9f:1a:94:0e:8f,78.657563,1999-01-07 15:10:21,xh,"$9,190.36",reprehenderit.json,Geiger Ltd,9,Guyana,21:20:45,America/Porto_Velho
"Gerberstrasse 898
7170 Locarno",JB-6592-7617-BANK,Marlen Ernst,CH,2004-03-25,Veyrier,6d:c2:fa:c7:fd:06,57.8254915,1974-05-29 08:41:25,byn,$388.85,laborum.mp3,"Schaller, Kälin and Wirth",4945,Grenada,05:24:09,Europe/Istanbul
"Sigriststrasse 7
4307 Freienbach",JB-2438-1359-BANK,Noe Meyer,CH,2009-12-24,Baden,92:b3:0d:c4:c7:3c,22.5173615,2011-12-20 09:16:57,mg,$27.05,sequi.png,"Roth, Leunberger and Kunz",848930601,Andorra,20:39:38,Europe/Sarajevo
"Bernasconistrasse 24
2876 Birsfelden",JB-1827-3636-BANK,Jack Eichenberger,CH,2014-02-22,Arbon,e9:1f:30:0a:df:e9,27.6017465,1981-01-14 02:28:24,tg,$298.21,incidunt.wav,Bernasconi Group,9,India,04:47:36,Asia/Saigon
"Pfisterstrasse 58
3981 Veyrier",JB-4886-1727-BANK,Özlem Wettstein,CH,1987-02-16,Basel,e6:87:25:d9:bc:1b,33.0863535,2002-03-07 11:16:15,cs,"$3,338.81",ipsum.jpg,Marti Inc,92,People's Republic of China,22:16:25,Asia/Kashgar
"Schäferstrasse 599
5076 Carouge",JB-2176-6101-BANK,Lotti Betschart,CH,1979-05-07,Ittigen,6e:d8:e4:db:14:00,7.9887155,1995-05-28 17:14:39,my,"$4,623.35",ea.wav,Schaller-Tobler,505,Thailand,21:15:18,Africa/Maseru
"Staufferstrasse 18
3498 Möhlin",JB-3122-3087-BANK,Solène Hirt,CH,2020-07-13,Stäfa,bb:36:af:9b:bf:f7,65.349484,1994-11-08 22:32:47,ckb,$88.84,unde.wav,"Ritter, Kaufmann and Gut",855,Maldives,07:52:28,Asia/Jerusalem
"Sennstrasse 51
5038 Muttenz",JB-3291-7694-BANK,Urban Meili,CH,1990-06-07,Regensdorf,44:e1:4e:1a:69:e1,36.0069165,2012-03-24 10:26:10,oc,$0.05,possimus.bmp,Bianchi-Zbinden,8,Portugal,16:03:16,America/Belize
"Baderstrasse 9
7156 Arth",JB-2063-0580-BANK,Aurel Hess,CH,1971-04-22,Reinach,bf:dd:74:dd:60:c6,-78.209673,2013-03-25 08:25:20,mn,"$2,002.10",maiores.mov,Aebi Group,5,Seychelles,19:58:15,America/Tegucigalpa
"Martistrasse 92
7792 Onex",JB-1829-4673-BANK,Blerina Furrer,CH,1997-03-08,Brig-Glis,15:9f:9a:aa:cb:95,30.761299,1973-11-11 00:32:32,en,"$8,257.16",odit.html,"Kägi, Meyer and Peter",946478,Syria,16:47:06,Asia/Ashgabat
"Bättigstrasse 48
2262 Oftringen",JB-4418-7392-BANK,Serge Jenni,CH,2009-05-20,Monthey,5d:2a:4a:0a:90:1b,-14.7424695,1978-03-03 21:26:30,ak,"$40,918.92",tempora.gif,Ammann PLC,3106,Burkina Faso,14:35:29,Pacific/Palau
"Peterstrasse 9
4925 Nyon",JB-2569-0648-BANK,Afrim Bosshard,CH,1979-04-18,Dübendorf,c7:0e:8a:1a:73:d0,65.020227,1995-03-04 09:08:20,ckb,$9.65,veritatis.png,"Vogel, Blum and Steffen",914796425,Brazil,06:42:17,Asia/Rangoon
"Sennstrasse 62
2091 Rapperswil-Jona",JB-7956-0416-BANK,Romina Portmann,CH,1996-10-05,Muttenz,77:3c:ee:e0:ed:0c,53.9948215,1988-05-03 12:54:22,wa,$360.36,recusandae.mp3,Bauer Inc,29,Bahrain,07:07:32,Europe/Oslo
"Kaufmannstrasse 215
3876 Horw",JB-7716-5954-BANK,Natasa Zollinger,CH,2006-05-12,St. Gallen,35:5b:ed:7c:8f:ce,-69.881202,2019-02-10 09:55:29,bhb,$928.12,minus.html,Felber Group,6974881,Turkey,20:47:43,Pacific/Efate
"Stöcklistrasse 540
6029 Sitten",JB-3138-5137-BANK,Samuele Rey,CH,2021-02-21,Aarau,fd:42:c1:76:6b:6a,-83.698432,1975-12-14 09:31:14,niu,$941.31,doloribus.wav,Mettler LLC,90726,Republic of the Congo,22:55:14,Asia/Damascus
"Baderstrasse 89
4448 Risch",JB-6902-6227-BANK,Linus Hofstetter,CH,1985-08-30,Möhlin,99:de:c9:a0:09:48,-69.188815,1973-10-24 07:34:22,raj,$8.73,illo.json,Kohler PLC,97,Saint Kitts and Nevis,08:58:31,Asia/Vientiane
"Forsterstrasse 42
4298 Illnau-Effretikon",JB-5912-7843-BANK,Niklaus Baumgartner,CH,2019-01-30,Allschwil,14:20:01:ea:5b:b7,-71.800923,1989-09-13 02:16:56,cmn,$19.62,eligendi.json,Imhof-Hug,361,Zimbabwe,13:09:32,Africa/Luanda
"Zehnderstrasse 46
5066 Münchenbuchsee",JB-1067-0785-BANK,Marion Huber,CH,2019-11-05,Meilen,a1:78:96:ff:d4:e8,65.4309225,2017-05-26 05:19:26,ky,"$9,674.71",voluptatibus.csv,Iten-Kohler,66141,Tajikistan,09:53:52,Asia/Jerusalem
"Gigerstrasse 14
7380 Villars-sur-Glâne",JB-0731-6149-BANK,Beatriz Lang,CH,1983-02-05,Prilly,65:8f:e7:b6:4b:d9,47.0094265,2003-05-12 09:00:14,gv,"$66,376.04",dolores.wav,Berger Inc,4960321,Palestine,20:48:03,Africa/Monrovia
"Geigerstrasse 35
4501 Naters",JB-2761-4748-BANK,Francisca Meyer,CH,2021-10-12,Zollikon,44:fe:02:27:5c:49,60.8488995,2015-03-14 00:09:27,szl,$99.17,eius.doc,Schwab-Wenger,563,Suriname,11:27:10,Asia/Manila
"Hofstetterstrasse 38
2623 Affoltern",JB-1937-2110-BANK,Rosetta Sigrist,CH,1981-01-27,Burgdorf,bf:d2:c0:52:f2:97,31.3890765,2009-06-10 15:08:52,so,$3.96,similique.mp4,Kohler-Aebi,80180111,Togo,10:22:39,Pacific/Galapagos
"Portmannstrasse 95
5887 Val-de-Ruz",JB-4646-3690-BANK,Jérôme Pfister,CH,1981-04-02,Sursee,fc:b1:3d:21:32:01,-8.4305065,2021-08-24 14:43:37,zh,$950.18,veritatis.html,"Siegrist, Ritter and Hunziker",3405720,Brazil,18:08:57,America/Managua
"Hunzikerstrasse 60
5831 Vevey",JB-7363-7887-BANK,Lauriane Stalder,CH,1975-11-23,Bassersdorf,78:14:af:e7:1c:e8,2.9227775,1983-08-16 02:29:00,pa,$7.73,fuga.txt,Aebi LLC,900351,Malaysia,13:20:08,Asia/Tbilisi
"Mayerstrasse 772
6617 Villars-sur-Glâne",JB-0634-0375-BANK,Marcelle Lang,CH,1991-11-26,Risch,d0:b1:fc:e3:b5:bf,-46.3125605,2008-12-11 12:17:31,ku,$16.66,non.html,Eichenberger PLC,6,Madagascar,03:06:16,Africa/Kampala
"Gloorstrasse 776
1433 Münchenbuchsee",JB-0489-4263-BANK,Laurin Merz,CH,1975-06-13,Uster,92:b2:66:2b:d8:1a,-44.449955,2007-12-12 00:07:10,et,$44.36,veritatis.mp4,Meyer-Senn,2997803,Finland,23:41:01,Africa/Lome
"Schlatterstrasse 96
2833 Aesch",JB-1196-7347-BANK,Hava Probst,CH,1996-10-26,Rüti,83:73:4a:a4:80:4b,-10.5393675,2011-10-14 12:12:03,en,"$57,224.66",illum.wav,Schweizer-Hafner,78462252,Albania,13:53:45,Europe/Andorra
"Gloorstrasse 34
6784 Villars-sur-Glâne",JB-1542-1382-BANK,Admir Huber,CH,1981-05-28,Suhr,49:af:a9:d9:2c:22,16.2951665,1974-06-25 06:07:08,es,$450.88,repudiandae.mp3,Herzog LLC,3692920,Sweden,19:36:10,Australia/Adelaide
"Staufferstrasse 64
6196 Arbon",JB-4263-3017-BANK,Marcella Schär,CH,1993-12-29,Le Grand-Saconnex,8c:87:e7:ef:1a:e0,62.262757,2017-03-20 08:12:47,lt,"$4,022.41",vero.html,"Koch, Probst and Benz",8853210,Trinidad and Tobago,01:12:00,Pacific/Tarawa
"Toblerstrasse 17
5186 Küsnacht",JB-6436-2764-BANK,Moira Kuhn,CH,1995-02-02,Richterswil,21:8d:88:38:45:37,-7.468526,1999-12-23 21:16:35,ht,"$6,482.60",necessitatibus.png,Hoffmann-Erni,128,Angola,06:57:54,Europe/Istanbul
"Suterstrasse 64
2400 Pfäffikon",JB-2226-7426-BANK,Rita Leu,CH,1987-01-26,Versoix,e9:3a:cf:cf:b3:f6,-17.9766555,1990-06-24 11:40:20,st,"$6,245.41",quisquam.mp3,Friedli PLC,797133,Nauru,08:51:32,Asia/Kuala_Lumpur
"Kernstrasse 16
5144 Amriswil",JB-0211-7367-BANK,Marielle Bosshard,CH,2020-12-31,Baden,0f:34:0c:4e:9e:94,-11.8477465,1971-09-24 11:06:14,csb,$75.22,libero.json,Ernst Group,2640531,Malawi,01:30:49,Europe/Copenhagen
"Sidlerstrasse 733
5420 Gossau",JB-5604-0966-BANK,Ljubisa Grob,CH,1981-09-27,Steffisburg,2b:8d:ed:66:8e:44,61.0777205,1996-01-22 16:49:09,bs,"$1,027.17",enim.mp3,Graf LLC,54,France,02:17:02,Africa/Accra
"Vogelstrasse 743
2468 Gossau",JB-0916-0115-BANK,Sladjana Stöckli,CH,1999-12-17,Kriens,ec:0b:c4:20:77:ca,82.430720,1973-03-22 16:38:07,os,"$9,014.87",totam.mp4,Imhof Inc,687,Vatican City,07:00:30,Europe/Paris
"Näfstrasse 406
8077 Kriens",JB-3745-2958-BANK,Elisabeth Schuler,CH,2022-03-24,Onex,5a:1f:97:c0:93:d0,31.8896495,2005-08-04 08:42:49,lzh,"$8,052.44",dolorem.mp3,Merz LLC,395,Uganda,14:08:53,Europe/Podgorica
"Bernasconistrasse 29
2073 Kreuzlingen",JB-3755-2558-BANK,Enrique Sidler,CH,2018-09-24,Aarau,f3:8a:e9:4a:43:b0,-66.1137775,2018-06-26 12:05:42,tt,"$1,467.52",ab.mp3,Sutter-Moser,9794,Belgium,20:56:56,Africa/Cairo
"Probststrasse 48
1502 Thalwil",JB-4159-1981-BANK,Daniela Knecht,CH,1974-07-23,Naters,85:27:7a:45:29:b9,1.7636505,2013-09-15 14:53:46,ko,"$17,506.89",aliquam.mp3,"Pfister, Favre and Bauer",240,Guyana,19:27:31,Africa/Luanda
"Favrestrasse 130
7309 Belp",JB-1337-1292-BANK,Bernd Michel,CH,1996-07-11,Lausanne,a4:29:07:5b:1e:3c,-74.7510065,1985-02-23 23:00:04,tg,"$7,901.02",libero.bmp,Christen Group,8,Saudi Arabia,02:31:28,Europe/Vilnius
"Sigriststrasse 568
5116 Langenthal",JB-5055-1972-BANK,Franz Meili,CH,1971-07-29,Vevey,70:84:f9:d4:ae:97,74.480413,1970-09-01 17:12:44,apn,"$97,225.23",esse.avi,Leu and Sons,79,Sudan,18:47:15,Europe/Andorra
"Zinggstrasse 57
2562 Küsnacht",JB-1440-7226-BANK,Ilija Kessler,CH,1972-01-25,Aarau,92:1d:67:24:29:a4,18.268952,2016-09-07 11:02:22,the,"$8,843.67",in.json,Huber-Vogt,6,Tajikistan,23:48:16,Pacific/Efate
"Schumacherstrasse 3
3739 Glarus",JB-1266-7653-BANK,Julia Fuchs,CH,1986-05-15,Volketswil,37:f5:b5:52:0c:bc,63.965139,1996-12-16 13:39:52,ur,"$77,869.30",incidunt.tiff,"Sutter, Koch and Hirt",47,Somalia,07:07:50,Europe/Oslo
"Kälinstrasse 35
5349 Aigle",JB-7084-6370-BANK,Camille Schoch,CH,1983-06-22,Neuhausen,7b:01:d0:a2:ad:86,7.6338455,1986-08-22 07:00:16,ta,"$67,107.54",fugit.mp4,"Meyer, Meister and Bieri",43,Djibouti,13:03:39,Africa/Cairo
