email,zrnr,phone,company,bank_country,language_code,date,mac_address,pricetag,timezone
adriano.merz@aol.com,JB-5662-5546-BANK,0760825831,Zbinden-Schlatter,CH,ig,2002-10-05,0e:8b:cd:61:90:c3,$378.92,Africa/Libreville
caterina.gfeller@gmail.com,JB-6247-0200-BANK,+41 781507904,"Sutter, Kaufmann and Portmann",CH,lij,2004-10-06,d5:f8:5c:2a:75:08,"$42,209.44",Africa/Freetown
bilal.frei@proton.ch,JB-6918-2839-BANK,+41 0797287707,"Kunz, Bader and Schwarz",CH,mk,1977-09-26,2d:07:89:cd:c1:ab,"$65,063.68",Asia/Colombo
ingrid.fehr@aol.com,JB-2820-5068-BANK,+41797672862,Friedli-Schoch,CH,wa,1991-05-24,0e:0a:35:a9:2a:c7,"$51,941.57",Europe/Chisinau
frida.bachmann@proton.ch,JB-2782-4769-BANK,+41 791990843,Zürcher-Kälin,CH,uz,1982-04-27,fc:06:9e:d9:ce:ce,"$9,479.34",Asia/Yerevan
natalie.herzog@gmail.com,JB-3871-6645-BANK,+41 0763071091,Schweizer PLC,CH,ha,2018-04-04,3f:34:8a:3b:54:18,$85.30,Asia/Rangoon
danny.tanner@gmx.de,JB-4646-3710-BANK,+41 0763155590,"Weibel, Herzog and Schwarz",CH,ms,1990-10-10,e1:f2:17:2b:0a:5c,"$16,920.58",Europe/Luxembourg
monica.scherrer@aol.com,JB-1098-1483-BANK,+41 0775532878,"Furrer, Winkler and Meister",CH,sq,2013-11-23,d6:6f:ab:98:b9:a8,"$68,781.79",Europe/Dublin
aude.frick@hotmail.com,JB-3007-2897-BANK,0792864960,"Schumacher, Eugster and Bucher",CH,br,1981-11-24,f0:b2:96:ef:30:14,"$42,571.72",Africa/Bamako
tanya.stauffer@aol.com,JB-1353-0474-BANK,+410777984123,"Iten, Jäggi and Bauer",CH,mni,2013-09-26,c1:bb:39:99:42:3b,$139.92,America/Barbados
manon.zbinden@proton.ch,JB-7474-2853-BANK,0766302284,Widmer-Stucki,CH,rw,1998-10-25,69:38:8f:4c:d8:db,$1.69,Africa/Khartoum
boris.wüthrich@aol.com,JB-7775-0414-BANK,+41774060685,"Stettler, Ferrari and Spörri",CH,sq,2008-04-06,05:e9:81:0b:89:19,$38.39,America/North_Dakota/New_Salem
diana.steffen@aol.com,JB-6450-1970-BANK,+41777130737,Arnold-Giger,CH,hsb,1992-05-26,55:5d:ff:a9:ff:10,$538.21,Europe/Paris
semir.benz@aol.com,JB-7665-1085-BANK,+41(0)787750709,"Marti, Frey and Zehnder",CH,wal,1996-11-08,1f:74:13:2f:8b:93,"$2,461.69",America/Jamaica
stefania.stauffer@proton.ch,JB-3188-7123-BANK,+41(0)782463464,Vogt-Zimmermann,CH,et,1983-08-27,41:58:9b:ab:b7:0a,$747.46,Africa/Accra
josefine.isler@proton.ch,JB-3758-3910-BANK,0786024753,Frick-Schär,CH,ig,2001-05-04,90:dc:8b:29:2d:c1,"$99,641.77",Africa/Algiers
andri.maier@proton.ch,JB-3396-3889-BANK,+41793403708,Wegmann Inc,CH,as,2021-07-16,3f:ee:36:8d:5d:d4,$34.08,Europe/Sofia
andrew.wettstein@hotmail.com,JB-5040-6369-BANK,+41 793785522,Kuhn-Wegmann,CH,ur,1985-11-26,54:43:5d:b9:af:01,$69.00,Asia/Jerusalem
mila.hermann@gmx.de,JB-4613-5866-BANK,+410796547427,"Hauser, Felber and Gloor",CH,kn,2001-04-27,f4:82:6f:83:b4:01,"$2,303.86",Africa/Lubumbashi
julian.gerber@gmx.de,JB-7044-6120-BANK,+41(0)776791993,Flückiger-Eichenberger,CH,raj,1978-01-13,ec:ff:73:84:50:43,$3.32,America/Tijuana
nenad.hofstetter@msn.com,JB-1637-5584-BANK,+41 0784522484,"Suter, Wagner and Stettler",CH,nn,1981-05-09,2f:0f:e5:12:d2:55,"$49,422.07",Asia/Karachi
josefine.wettstein@hotmail.com,JB-3371-0745-BANK,+41 0793850502,"Lüthi, Hermann and Schär",CH,or,2007-03-28,b6:77:81:14:5e:3b,"$65,875.16",Europe/Uzhgorod
vinzenz.graf@hotmail.com,JB-1942-2029-BANK,+41 767423516,"Felber, Gasser and Bolliger",CH,hr,2018-12-19,8e:54:96:5b:cb:7f,"$80,586.99",Pacific/Efate
nazmi.moser@msn.com,JB-4064-0423-BANK,+410776637845,"Kägi, Betschart and Ferrari",CH,mt,1999-12-27,52:12:bd:90:a3:f3,$544.88,Pacific/Auckland
cinzia.ferrari@gmx.de,JB-5008-2574-BANK,+41(0)773354142,"Brunner, Kaufmann and Tobler",CH,th,1997-07-15,91:eb:86:d2:dc:d2,$223.15,Asia/Urumqi
emina.ritter@gmx.de,JB-1094-2031-BANK,+41 762024154,"Fischer, Hartmann and Berger",CH,nb,2016-10-11,a3:b1:81:9e:f1:16,"$4,144.76",Africa/Asmera
fanny.ott@aol.com,JB-2836-7485-BANK,+41 771956097,Lang-Schumacher,CH,ia,2008-09-30,85:74:30:73:62:e0,"$9,353.86",Asia/Karachi
benedikt.schmidt@hotmail.com,JB-2811-2176-BANK,0792387584,Schnyder-Schenk,CH,ln,2020-04-18,a7:d7:16:45:9d:48,$572.18,Africa/Tunis
lucas.bieri@hotmail.com,JB-4783-5174-BANK,+41(0)763271173,Felber LLC,CH,ce,1977-11-27,48:37:be:3b:68:dc,$84.10,Africa/Kampala
pauline.frei@gmx.de,JB-6990-7238-BANK,0764863576,Frick LLC,CH,as,2010-12-21,39:96:cc:3a:32:71,$2.90,Asia/Kuala_Lumpur
cordula.bär@msn.com,JB-7521-3726-BANK,+410770076473,Jäggi-Wolf,CH,ve,2010-06-25,12:51:aa:bf:b3:77,$252.24,Indian/Mauritius
annamaria.meili@gmail.com,JB-5812-3671-BANK,+41(0)772471813,"Schweizer, Kägi and Weber",CH,cs,1982-02-02,b6:96:a2:18:02:d9,$91.27,Africa/Kampala
gabriel.hermann@proton.ch,JB-7380-2924-BANK,+410792213441,Haas-Schwarz,CH,pt,2013-07-04,3f:95:ac:0e:97:9e,$654.06,Pacific/Nauru
aleksandra.felber@hotmail.com,JB-7212-4605-BANK,0767544968,Bär-Bättig,CH,it,2000-02-06,0f:bf:5f:ab:60:c3,$390.99,Europe/Vatican
richard.frey@aol.com,JB-5544-1529-BANK,+41795010760,Wenger Inc,CH,ga,1982-07-22,93:af:4b:b3:eb:dc,$67.43,Europe/London
amalia.stöckli@gmail.com,JB-7692-4530-BANK,+41 0787264705,Jost Inc,CH,dz,1976-12-04,f7:7b:35:2d:3f:69,$437.22,Pacific/Easter
ricardo.felber@msn.com,JB-0222-0877-BANK,+41 761093019,Scherrer-Felder,CH,ko,1989-10-16,22:01:f9:7d:fd:6d,$7.00,Europe/Zagreb
véronique.wüthrich@gmx.de,JB-6955-1560-BANK,+41793083504,"Wegmann, Hauser and Berger",CH,mag,2021-07-12,6c:11:a1:0e:68:8f,"$8,566.97",Africa/Malabo
käthe.hofmann@gmx.de,JB-7564-0817-BANK,+41(0)791557207,Jenni-Furrer,CH,ln,2007-11-03,5b:4b:67:29:5c:32,$37.23,America/Guatemala
elisabetta.schmid@gmail.com,JB-3377-2598-BANK,0771372595,Schaller LLC,CH,ka,2007-10-11,e6:bd:ac:be:cc:aa,$1.27,Europe/Budapest
mimoza.bianchi@gmail.com,JB-3319-0160-BANK,+41795904464,"Martin, Gross and Brun",CH,cv,1982-12-24,17:19:67:a7:52:56,"$8,700.07",Pacific/Port_Moresby
fred.kern@hotmail.com,JB-0532-5152-BANK,+41 0776767677,Bachmann Inc,CH,tr,2020-04-13,3c:70:c5:2e:bd:24,$520.87,Europe/Budapest
ina.stettler@msn.com,JB-7252-2661-BANK,0795485174,"Wenger, Hürlimann and Käser",CH,zu,1995-04-11,44:32:82:b2:0e:91,"$8,295.33",Africa/Dar_es_Salaam
yasmina.kohler@proton.ch,JB-3178-2433-BANK,+41763227848,Lang-Huber,CH,or,1972-02-06,64:68:f1:24:1a:23,$895.45,Europe/Amsterdam
carol.bosshard@proton.ch,JB-6376-1689-BANK,+41 797157185,"Ackermann, Ziegler and Kohler",CH,kk,1994-10-31,e8:43:13:44:59:35,"$92,709.39",Africa/Ndjamena
emine.blum@hotmail.com,JB-1343-5230-BANK,+41 767852249,Zehnder PLC,CH,ti,1972-11-01,a5:44:44:48:6f:f5,$29.24,America/St_Lucia
ursula.wyss@gmx.de,JB-7580-2471-BANK,+41 770416402,Ferrari LLC,CH,el,2006-05-21,3b:cf:c0:d0:4b:19,"$8,409.05",Africa/Casablanca
julien.mäder@gmail.com,JB-0569-4181-BANK,+41(0)783214189,"Meister, Gfeller and Lüscher",CH,lzh,1986-09-04,1c:95:c8:30:12:a0,$93.76,Africa/Porto-Novo
zeynep.hoffmann@proton.ch,JB-0664-3218-BANK,+410767945526,Hasler PLC,CH,bhb,2020-01-29,28:1b:3a:02:cb:2f,$9.90,Asia/Vientiane
karin.michel@gmail.com,JB-1959-7493-BANK,+410762820315,Zimmermann-Meili,CH,gd,1978-08-13,bb:e6:63:8d:3d:64,$5.26,Europe/Tallinn
theodor.moser@gmail.com,JB-6868-2068-BANK,+41 780395519,Wenger-Wyss,CH,rw,2020-07-09,4f:c7:76:15:39:f9,"$1,044.69",America/Jamaica
metin.maier@gmx.de,JB-4921-7747-BANK,+410761600866,Felder-Leu,CH,gl,1987-12-27,fc:f6:d4:5a:1b:46,$67.30,Africa/Freetown
lorena.fehr@hotmail.com,JB-7424-5310-BANK,0760917558,"Gross, Ott and Meyer",CH,ur,2016-10-29,76:3f:32:70:2a:26,$5.51,America/Nassau
pius.siegrist@hotmail.com,JB-7356-7293-BANK,+410786166194,Keller and Sons,CH,fi,2003-02-06,f7:41:83:43:27:59,$6.55,America/Santo_Domingo
lionel.zürcher@proton.ch,JB-4565-7309-BANK,0781171591,"Eugster, Wagner and Bieri",CH,doi,2017-02-16,76:b0:ac:54:f3:a8,$610.11,Asia/Baku
ruben.weber@gmx.de,JB-5525-3558-BANK,+41(0)786676609,Wettstein-Peter,CH,fa,2020-05-06,0b:b3:c8:c6:7c:de,$776.40,America/Nassau
melvin.sigrist@msn.com,JB-5094-7652-BANK,+410790712301,"Koch, Zingg and Gfeller",CH,uk,1970-10-03,c3:37:2b:1e:d2:11,$791.22,Europe/Copenhagen
patrizia.bolliger@gmx.de,JB-0115-0539-BANK,+41 765032885,"Spörri, Lehmann and Hartmann",CH,hu,2019-03-30,59:d0:60:06:b9:6d,$647.58,Asia/Beirut
raquel.tanner@gmail.com,JB-4506-1698-BANK,0790617919,Portmann-Bader,CH,mai,2014-09-08,20:16:d3:41:88:9b,$6.07,Asia/Nicosia
laurent.stettler@aol.com,JB-6705-4428-BANK,+41 0765790149,Burri-Michel,CH,nan,2015-03-24,17:7c:ea:37:a2:85,"$33,453.86",Europe/Monaco
ewald.bader@gmx.de,JB-6857-3568-BANK,+41 790296972,Schwab-Hotz,CH,th,1980-08-12,da:42:d6:6a:93:29,"$60,807.89",America/Mexico_City
annemarie.zbinden@msn.com,JB-0926-7733-BANK,+41 795556427,Bühler-Lang,CH,nb,1994-12-10,db:36:c6:6e:eb:69,$98.70,Africa/Brazzaville
joachim.thommen@gmail.com,JB-0726-0967-BANK,0766023640,"Kuhn, Lang and Hermann",CH,ia,1971-01-01,50:57:54:4a:37:1d,$524.82,Africa/Bissau
blerta.bader@msn.com,JB-5278-4254-BANK,0760990278,Christen-Stadelmann,CH,om,2002-12-27,da:e8:6d:49:9d:8a,$454.66,America/Costa_Rica
aldo.meyer@gmail.com,JB-1354-1058-BANK,+410774416223,Michel-Schaub,CH,cmn,1987-08-31,af:94:bb:02:91:23,$79.18,Atlantic/Cape_Verde
agathe.weibel@proton.ch,JB-4554-1876-BANK,+41775624276,Martin Ltd,CH,brx,1998-11-23,e3:27:b0:17:df:50,$5.53,Asia/Seoul
mirjana.küng@msn.com,JB-1846-3970-BANK,+41787945339,"Moser, Mettler and Amrein",CH,ur,1981-04-10,a2:aa:12:ef:fe:86,$770.55,America/Paramaribo
greta.kunz@proton.ch,JB-6622-3810-BANK,+41(0)783046478,Ziegler and Sons,CH,ms,1980-06-04,14:12:72:90:29:7e,$27.26,America/Panama
jakub.egli@aol.com,JB-4909-4173-BANK,+41 797736917,Kohler LLC,CH,tk,2002-06-05,51:fc:44:44:26:7a,$1.27,Asia/Rangoon
ronald.eichenberger@aol.com,JB-7871-5592-BANK,0781666726,"Schmidt, Moser and Käser",CH,nds,1971-10-21,1d:7b:6c:1a:d4:17,$34.79,America/Jamaica
hans-rudolf.schlatter@aol.com,JB-3685-1993-BANK,+410763000773,Kern PLC,CH,unm,2019-11-30,47:24:95:e1:cd:dd,$1.14,America/Paramaribo
antonio.zürcher@aol.com,JB-7109-7042-BANK,+41 767863854,Stutz LLC,CH,rw,1980-09-30,4d:9e:60:82:fd:5a,$51.98,Africa/Maputo
renate.zbinden@proton.ch,JB-5077-3652-BANK,+41 761235486,"Betschart, Ott and Felber",CH,cv,2000-07-16,a5:d8:bf:92:55:4b,$192.42,America/El_Salvador
safet.meyer@gmx.de,JB-5283-3934-BANK,+410794735984,Jäggi Group,CH,ne,1977-12-10,ec:36:9f:1e:e5:2b,"$14,838.79",Africa/Accra
ophélie.schenk@gmx.de,JB-7905-4980-BANK,+41791791301,Sigrist-Roth,CH,pa,1971-01-05,7b:9a:a1:c1:47:97,$28.80,America/Adak
abel.steinmann@hotmail.com,JB-0751-4962-BANK,+41797450966,"Bernasconi, Stucki and Hug",CH,is,2002-05-16,f2:f6:3c:58:21:e6,"$9,973.87",Asia/Muscat
balthasar.christen@gmail.com,JB-5390-3654-BANK,+410787917912,"Walter, Blum and Baumann",CH,lb,2002-06-27,24:04:70:af:b7:ad,$10.68,Africa/Asmera
xavier.häfliger@aol.com,JB-6592-1394-BANK,+41(0)780333808,"Erni, Forster and Erni",CH,or,2020-09-10,a8:69:51:23:49:80,"$7,890.92",America/Nassau
cosimo.wirth@aol.com,JB-6714-0826-BANK,+41775203403,"Scherrer, Braun and Schumacher",CH,sr,2019-07-06,40:fc:13:10:59:1b,$8.41,Africa/Brazzaville
aleksandar.forster@msn.com,JB-6870-4613-BANK,0787522011,Schwarz-Frei,CH,cy,2022-01-06,e8:d6:74:9f:11:f6,$524.12,Africa/Libreville
anastasia.erni@hotmail.com,JB-7509-7886-BANK,+41 782954592,Lustenberger PLC,CH,or,2004-12-24,46:9c:de:16:02:90,"$2,317.87",Pacific/Tongatapu
wendelin.wagner@gmx.de,JB-1077-2739-BANK,+41 771567507,"Brun, Iten and Fischer",CH,is,1990-05-23,49:54:45:6c:20:6f,"$2,164.32",America/Tijuana
jérôme.bader@proton.ch,JB-1648-0456-BANK,0772171846,Ernst and Sons,CH,xh,2011-08-21,74:a6:ae:cf:31:7b,$817.93,Africa/Lusaka
aurore.haas@hotmail.com,JB-1496-0485-BANK,+41 0781514656,Stalder LLC,CH,gu,2022-07-26,e6:9e:48:76:03:72,"$93,459.32",Africa/Accra
pascale.wegmann@proton.ch,JB-6771-1740-BANK,+41 782155752,Berger PLC,CH,fr,2000-11-19,5d:fd:9f:f7:ed:2e,$762.93,America/Belize
nico.gfeller@aol.com,JB-2436-3575-BANK,0766356301,Bolliger-Graf,CH,so,1990-09-11,f9:fd:72:4a:e6:ec,$66.81,Europe/Sofia
valerie.schaller@hotmail.com,JB-0735-2335-BANK,+41(0)791317284,"Hermann, Christen and Michel",CH,ve,2021-12-14,60:7a:14:12:5a:6f,"$16,531.98",Pacific/Apia
tino.studer@gmx.de,JB-2638-4891-BANK,+410771693186,Hartmann-Bucher,CH,my,1974-04-20,7e:3a:92:8b:12:5b,$353.06,Asia/Pyongyang
sylviane.hirt@proton.ch,JB-4518-4717-BANK,+41(0)791393345,Weber PLC,CH,ht,2000-04-07,16:da:33:fa:76:1e,$283.18,Europe/San_Marino
tommaso.stadelmann@proton.ch,JB-0502-6684-BANK,+41(0)771573193,Wegmann and Sons,CH,mr,1999-12-03,3b:8c:36:c2:75:64,$689.60,Africa/Luanda
valon.thommen@proton.ch,JB-6201-7626-BANK,+41 775822166,"Studer, Hartmann and Bucher",CH,os,1990-12-13,fe:5f:5a:d9:b9:69,$5.52,Asia/Brunei
danica.schoch@gmail.com,JB-6685-7054-BANK,+41792884570,Schuler-Thommen,CH,brx,2015-08-10,93:4a:cc:8c:00:bb,$0.82,Europe/Vatican
corinna.wyss@aol.com,JB-2566-4420-BANK,+41775633714,Brun-Sutter,CH,ml,1988-07-15,81:34:ec:11:8a:e7,$921.51,Europe/Vaduz
pierre.friedli@aol.com,JB-4637-5665-BANK,+41 0767367209,"Maier, Tanner and Stucki",CH,li,2006-10-13,c4:48:a4:4a:c5:87,$41.66,America/Antigua
joanna.bauer@gmx.de,JB-6818-3653-BANK,+41783484733,"Stutz, Gloor and Schürch",CH,ug,1990-09-30,4b:bb:99:89:0c:82,$3.84,Africa/Tunis
noëmi.scherrer@aol.com,JB-3931-4777-BANK,+41 0770922234,Wirz-Baumgartner,CH,sk,1973-07-23,cb:f1:06:a0:0c:a9,$47.00,Atlantic/Reykjavik
mile.meili@hotmail.com,JB-6486-1524-BANK,+41 776536219,Koch-Schmidt,CH,cmn,2010-05-26,a9:bf:aa:2b:86:28,$512.80,Asia/Katmandu
berta.schoch@gmail.com,JB-1598-2443-BANK,+41793535243,"Staub, Meier and Hauser",CH,ayc,1998-08-06,53:70:38:37:b2:d3,$72.87,Asia/Bishkek
