phone,fullname,address,date,timezone,mac_address,random_number,longitude,bank_country,pricetag,city,iso8601,latitude
+41(0)772933681,Colette Weibel,"Bolligerstrasse 16
6915 Kloten",1982-12-09,Asia/Ashgabat,33:bb:a5:11:0d:21,1649,-61.393699,CH,$7.63,Oberwil,2014-01-04T04:44:21,-40.357039
+41 0775211408,Dietmar Kuhn,"Käserstrasse 6
5609 Männedorf",2008-11-09,America/Barbados,51:ac:5d:d5:1f:6c,24,-148.238706,CH,$609.87,Biel/Bienne,1989-07-04T19:38:00,-32.9911895
+41760546941,Alice Bernasconi,"Thommenstrasse 16
4182 Neuhausen",2002-07-29,Africa/Freetown,f5:4a:d1:61:8f:1a,273102,-171.760827,CH,$87.11,Onex,1978-07-19T03:22:09,-0.9474405
+410772741677,Nik Bättig,"Martinstrasse 75
7430 Münchenstein",2014-08-29,America/Adak,fb:1d:2f:ff:8f:81,35571744,-58.215389,CH,$5.26,Bulle,1971-04-08T06:25:44,57.1805935
+41781552969,Christof Egger,"Baurstrasse 638
7054 Uster",2010-11-04,Asia/Damascus,06:c7:08:82:9e:be,149,135.747245,CH,$46.29,Lancy,2011-06-25T06:20:27,60.101586
+41 0782094222,Milos Zehnder,"Zimmermannstrasse 12
7765 Le Grand-Saconnex",1995-09-12,Africa/Bangui,e8:7a:03:64:7c:12,464397,-61.465184,CH,"$8,689.43",Locarno,2005-07-11T16:13:53,41.3262755
+41 0794985786,Soraya Steiner,"Eichenbergerstrasse 8
4784 Montreux",1978-05-14,Asia/Manila,6c:f7:b5:44:7a:7f,8,87.219681,CH,$56.44,Glarus,1977-11-14T12:04:31,-51.330560
+41783662261,Magali Schweizer,"Häfligerstrasse 8
4767 Prilly",1979-04-30,Africa/Windhoek,24:17:e2:ca:6d:45,56,-0.949970,CH,$6.11,Olten,2020-01-22T08:00:23,-81.722370
+41(0)790193405,Edgar Schäfer,"Ackermannstrasse 26
3578 Delsberg",2003-06-28,Africa/Malabo,8b:8b:f1:3d:86:cb,763320,143.621867,CH,"$54,557.78",Weinfelden,1979-06-25T10:40:07,-36.924637
0765216128,Thea Zürcher,"Widmerstrasse 97
9280 Yverdon-les-Bains",1992-07-19,Europe/Berlin,ab:dd:45:41:f1:71,358162477,-129.014772,CH,$84.31,Aesch,2000-07-31T00:40:26,70.9267845
+41 0783333819,Miguel Arnold,"Ackermannstrasse 602
6049 Muri",1995-07-09,Africa/Libreville,f4:f8:9d:03:ca:0f,327357,56.025049,CH,$985.35,Solothurn,1976-09-04T10:12:23,-15.9250225
+41776166815,Lotte Ziegler,"Ottstrasse 31
6630 Prilly",2007-01-15,Africa/Lagos,36:79:aa:08:20:fd,8436,102.573040,CH,$8.39,Neuenburg,1977-12-29T10:11:58,15.3491145
+41(0)766377001,Yasmina Wenger,"Bosshardstrasse 89
5805 Bassersdorf",1997-07-25,America/Montevideo,d1:49:13:49:97:88,38,83.040734,CH,$2.52,Richterswil,2010-06-26T05:24:02,25.660390
+41 0796923953,Marta Bieri,"Wehrlistrasse 7
6068 Bassersdorf",2003-06-04,Europe/Stockholm,74:b8:eb:52:81:60,8165824,-154.745152,CH,$757.05,Onex,2001-03-16T19:52:49,-10.911181
+410783095894,Emir Leu,"Kälinstrasse 35
1133 Bernex",1987-07-20,Africa/Bamako,26:11:df:4e:10:5d,3134007,17.542368,CH,$7.58,Aigle,1981-04-12T14:32:07,13.836936
0792931254,Milka Steiger,"Kochstrasse 34
3631 Bern",2008-08-25,America/Antigua,05:69:b1:f5:72:84,5449352,-25.247671,CH,"$9,564.23",Langenthal,2002-02-11T15:32:18,53.0183825
+41767817692,Agathe Wirz,"Martinstrasse 858
3237 Siders",1992-08-28,Africa/Banjul,b1:56:5d:24:99:d4,7262,-61.908237,CH,$7.76,Birsfelden,2006-04-04T04:55:16,17.5822235
+41 0765700220,Oswald Schlatter,"Grossstrasse 374
8661 Pratteln",1977-01-07,Europe/Vilnius,cd:f7:8a:55:b7:13,4898774,-53.595659,CH,$17.01,Wald,2017-07-21T23:54:21,-65.897117
+41(0)781992593,Beatrice Ernst,"Braunstrasse 89
6943 Steinhausen",2000-10-13,Europe/Riga,81:d4:c3:63:81:55,47572,-87.309346,CH,"$8,884.78",Onex,2010-06-17T22:34:54,21.5252955
+41(0)793831578,Mara Kohler,"Kuhnstrasse 30
8442 Thun",1990-04-30,Pacific/Port_Moresby,1f:b6:83:f6:32:94,85405,95.725022,CH,$8.98,Spreitenbach,2000-12-15T16:19:06,49.5065735
+41 797726625,Kastriot Thommen,"Kälinstrasse 12
9275 Freiburg",1983-08-25,Europe/Zagreb,b4:9f:82:f0:95:20,92,63.556740,CH,$0.15,Emmen,2014-10-25T18:47:13,46.916172
+41 0773545567,Salome Geiger,"Jennistrasse 2
6884 Onex",1992-04-03,Pacific/Efate,20:6e:d4:15:ca:57,1645579,64.518467,CH,$9.97,Steinhausen,2013-08-04T00:51:51,12.4213205
+41 0784183359,Delphine Lutz,"Vogtstrasse 65
8156 Risch",1989-02-13,Europe/Vaduz,4f:d8:42:14:3d:07,7245,-71.199432,CH,$558.00,Wallisellen,1990-06-25T21:16:13,-35.368446
+41 0782842772,Marlene Knecht,"Kaufmannstrasse 868
4852 Wallisellen",2014-11-13,Asia/Seoul,3a:20:86:76:c2:cb,39,-122.691422,CH,"$42,781.17",Lyss,2007-11-27T10:55:20,-87.265670
+41 0771531310,Vivienne Kessler,"Pfisterstrasse 3
3294 Schaffhausen",1978-05-03,Asia/Colombo,26:72:75:e7:fc:2a,395999761,-11.806726,CH,$58.30,Maur,1983-03-12T09:37:25,-16.0384555
+41(0)760732449,Niclas Meier,"Müllerstrasse 10
9286 Bellinzona",2015-10-09,Africa/Johannesburg,d4:20:0f:dd:8e:91,469,-23.742403,CH,"$23,515.54",Solothurn,1986-03-29T01:30:41,-4.7308595
+41(0)785140688,Mile Schaub,"Maurerstrasse 45
8879 Opfikon",2007-10-02,Europe/Berlin,6b:72:3d:ce:1a:20,54,126.614613,CH,$91.33,Glarus,1971-12-06T05:02:38,-31.0963325
+41 0773903664,Nancy Gfeller,"Bauerstrasse 4
1169 Montreux",1995-02-23,Pacific/Efate,e6:5e:ab:74:2a:3a,78851876,178.088764,CH,$29.61,Villars-sur-Glâne,2001-07-24T09:50:53,-74.282045
+41(0)761121306,Kemal Studer,"Christenstrasse 71
4047 Pratteln",1978-05-04,Asia/Choibalsan,86:d3:3c:ba:74:d7,2262,-67.769765,CH,$4.02,Lyss,1988-05-01T02:20:37,85.9295655
+41 782896700,Theo Portmann,"Pfisterstrasse 61
9197 Thalwil",1989-01-07,Europe/San_Marino,5e:2d:ce:05:bd:3f,1,142.528155,CH,$6.97,La Chaux-de-Fonds,1981-09-13T14:53:53,7.316170
+41 0767625909,Hana Schaller,"Bosshardstrasse 9
5029 Regensdorf",1990-09-29,Africa/Accra,ca:cc:df:63:6d:cb,9635124,-74.289035,CH,$639.63,Delsberg,2022-08-14T14:20:28,56.631573
+41 0795387803,Jael Wegmann,"Schallerstrasse 224
9842 Horw",1992-05-03,America/Guatemala,54:23:8f:f1:3e:7f,69204774,-92.428486,CH,$897.12,Wallisellen,2002-05-12T13:43:37,-76.818817
0783297682,Basil Lehmann,"Stöcklistrasse 3
9351 Amriswil",2013-07-13,America/Manaus,90:e5:c5:f5:66:43,513267,-88.485954,CH,$30.85,Rüti,2017-08-08T05:54:44,-24.9853105
+41 784293371,Viviane Kuhn,"Schochstrasse 169
7766 Wettingen",1991-11-21,Pacific/Nauru,47:cf:b7:aa:d7:e0,22,51.835218,CH,"$16,429.80",Schwyz,2022-08-17T08:59:38,51.328526
+410797945609,Ljubisa Zürcher,"Zieglerstrasse 95
8224 Yverdon-les-Bains",2004-06-20,America/Nassau,ee:02:33:bd:12:f9,4,-17.617663,CH,"$7,442.42",Genf,2001-10-17T15:14:54,-32.764443
+41(0)767071146,Agnese Giger,"Winklerstrasse 89
4290 Bern",1997-11-10,Pacific/Guadalcanal,79:15:fe:76:c6:99,833839142,24.509146,CH,$8.62,Olten,1970-01-29T11:03:51,2.8197075
0773004447,Danny Probst,"Siegriststrasse 51
4722 Altstätten",1995-06-26,America/Santo_Domingo,4b:69:ae:20:55:c9,961749,104.690994,CH,$3.26,Birsfelden,1997-12-09T06:06:53,53.4020595
+410775521852,Silvana Wüthrich,"Hodelstrasse 42
6618 Monthey",1981-03-15,Asia/Kuching,2d:db:1c:15:15:f0,55,101.128494,CH,"$6,034.95",Lancy,1982-03-21T22:01:45,-85.1312095
0794344049,Katja Felder,"Schmidtstrasse 156
3017 Freienbach",1970-01-21,Europe/Dublin,18:53:d4:07:bf:0a,15656293,-6.311179,CH,"$34,802.95",Bulle,1983-11-08T01:07:22,62.2135995
+41772122984,Miranda Schäfer,"Steinmannstrasse 82
4073 Oftringen",2022-12-27,America/Lima,38:9c:38:35:db:9d,37735173,-141.435009,CH,"$3,722.20",Stäfa,2009-09-01T21:49:11,-51.146991
+41793613750,Kemal Müller,"Lanzstrasse 8
3658 Flawil",2012-07-30,Europe/Bratislava,da:f3:e9:d3:8f:a8,19,53.867742,CH,"$4,479.53",Onex,2021-01-15T23:12:59,86.8806095
+41 766734474,Soraya Bianchi,"Bühlmannstrasse 840
9962 Volketswil",2017-06-17,Africa/Bamako,4c:60:12:cc:36:b0,8228490,110.802276,CH,$6.77,Lausanne,2001-01-19T09:31:05,70.359111
+41(0)776786958,Irène Kessler,"Mäderstrasse 88
4379 Rapperswil-Jona",1980-03-18,America/Boa_Vista,f2:0d:d9:bb:51:ed,96849831,-67.209337,CH,"$8,629.85",St. Gallen,1970-02-11T05:19:39,-78.8466795
0772737008,Agnès Schweizer,"Bieristrasse 89
2460 Rapperswil-Jona",2009-06-22,Africa/Sao_Tome,12:73:de:16:13:06,634809,152.613051,CH,$765.72,Bulle,2004-08-04T15:44:53,82.5513695
+41 790831994,Hartmut Wirth,"Peterstrasse 498
6235 Ittigen",1993-03-21,Asia/Taipei,7c:9c:f8:31:c7:48,8282,-74.138985,CH,"$96,083.59",Rheinfelden,1983-03-16T19:27:42,-51.6286635
+41 762126830,Valeria Haas,"Spörristrasse 9
5510 Wallisellen",1971-06-13,Asia/Gaza,73:b8:68:d9:b4:d6,617431,52.182961,CH,"$41,193.68",Biel/Bienne,2002-08-19T12:40:23,47.361746
0793022614,Teuta Schumacher,"Wagnerstrasse 64
7255 Spreitenbach",2022-08-30,Africa/Maputo,25:2f:7f:96:38:aa,62060249,24.355084,CH,$161.79,Richterswil,2001-12-09T18:15:46,81.0095955
+41786093631,Andy Zollinger,"Lüscherstrasse 62
2185 Wädenswil",2013-06-23,America/Tegucigalpa,e9:4a:40:39:b7:af,48965,-153.352802,CH,"$4,903.63",Nyon,1977-01-31T20:56:02,6.2827065
+41 0771443122,Egzon Michel,"Toblerstrasse 985
1044 Payerne",1997-07-07,Asia/Jerusalem,25:13:9c:49:73:87,3439,106.200314,CH,$0.57,Liestal,2013-11-04T18:17:34,-16.8691045
+41(0)783775898,Hana Kaufmann,"Bühlmannstrasse 7
7125 Risch",1978-04-28,Asia/Kuwait,98:2a:5a:98:48:3b,970203467,156.070570,CH,"$5,774.86",Payerne,2010-01-09T16:30:45,38.5796575
0775505780,Karl-Heinz Wyss,"Wagnerstrasse 63
7112 Buchs",2023-08-05,Asia/Tokyo,af:5d:71:80:7e:db,8499,-98.647346,CH,$78.33,Uster,2022-02-16T04:19:49,-79.6564345
+41791767415,Beda Forster,"Reystrasse 18
3165 Binningen",2013-06-26,Asia/Baghdad,cc:6e:07:5f:51:12,846794427,32.490641,CH,$281.75,Suhr,1984-01-21T07:41:05,24.100019
+410780950937,Gianni Jenni,"Wehrlistrasse 21
3696 Lutry",2003-12-17,Asia/Amman,d7:3b:fa:c6:24:bc,8,23.364453,CH,"$63,706.09",Opfikon,1988-01-21T01:47:28,70.559765
+41 0783270974,Noemi Stocker,"Müllerstrasse 48
1032 Bulle",1976-12-07,Asia/Bishkek,a3:71:1c:cf:38:63,43712542,-56.097522,CH,$567.01,Küssnacht,2003-02-28T22:41:20,-27.428437
+41 790513980,Klara Egli,"Wüthrichstrasse 961
4100 Villars-sur-Glâne",1977-05-01,America/Lima,b8:59:28:73:ef:d5,457,-92.311899,CH,$99.84,Zollikofen,1992-10-08T08:29:49,72.2102925
+41790124819,Musa Bär,"Bühlerstrasse 53
1721 Bassersdorf",2005-07-31,America/Belize,f6:1b:86:77:67:d6,4949838,174.469841,CH,"$7,645.12",Sarnen,1995-01-27T05:59:55,12.4988275
+41(0)777126305,Levin Pfister,"Pfisterstrasse 3
9874 Weinfelden",1970-02-28,Africa/Maseru,02:1d:26:5e:25:57,869161209,47.554776,CH,"$91,905.81",Sarnen,1988-10-11T12:03:25,86.659439
+41 773570778,Ryan Ott,"Furrerstrasse 60
5936 Weinfelden",1992-02-16,Asia/Seoul,ea:26:47:c9:b2:2b,498614957,93.753317,CH,$5.75,Renens,2004-10-07T20:19:38,12.5519455
+41 0765551045,Labinot Merz,"Widmerstrasse 91
9841 Hinwil",1984-03-27,America/Grenada,e1:1d:aa:15:ba:fb,1085267,46.231981,CH,$69.41,Steinhausen,2002-01-31T22:56:26,65.2453305
+410794044813,Noël Schmid,"Ritterstrasse 95
9341 Thônex",2014-11-13,Europe/Dublin,23:a7:fd:cf:7e:15,3,4.961787,CH,"$55,582.29",Volketswil,1977-09-02T04:41:37,66.4171875
+410781114689,Annabelle Beck,"Küngstrasse 66
6940 Binningen",1984-06-05,America/Santiago,4f:24:19:5e:45:df,803869,-127.016720,CH,"$3,190.30",Delsberg,1971-03-13T04:52:39,-81.265452
0784804176,Alessandra Scheidegger,"Itenstrasse 437
2122 Neuhausen",2012-03-07,Europe/Helsinki,74:5f:88:75:da:b6,29946,73.883794,CH,"$6,475.93",Hinwil,2011-01-03T09:20:57,-0.673293
0766167810,Claus Fuchs,"Meilistrasse 25
5496 Horgen",1983-10-12,America/St_Vincent,a8:50:4e:6b:fd:32,943798,-118.285411,CH,$40.58,Davos,2012-02-06T14:21:53,66.946035
+41792167133,Luc Koch,"Freistrasse 5
9753 Möhlin",1983-06-23,Asia/Baghdad,4f:08:2d:fb:3a:73,16,74.500273,CH,$24.78,Muttenz,2000-07-21T05:49:22,47.5842005
+41782417279,Laszlo Steiner,"Hofstetterstrasse 2
5700 Thônex",1974-02-04,Asia/Hebron,86:32:9b:4f:a1:8d,40953,132.375998,CH,"$2,003.75",Renens,2016-07-12T00:07:52,28.5791575
+41 787147920,Cynthia Weber,"Portmannstrasse 655
7276 Emmen",1982-01-11,Europe/Prague,9a:86:2f:69:44:d6,401724420,88.782821,CH,$18.62,Muri,2004-01-08T00:14:27,-19.480970
+410764493944,Torsten Knecht,"Meisterstrasse 68
2182 Münchenbuchsee",1983-04-07,Asia/Aden,5d:94:f7:79:20:2e,72,127.525898,CH,"$74,068.93",Muri,2019-01-28T02:48:44,57.3511035
0797927251,Pablo Widmer,"Schneiderstrasse 47
6039 Allschwil",2022-12-27,Europe/London,cb:2a:52:55:1f:9e,2208224,118.741553,CH,$703.29,Zug,2018-07-26T07:34:04,-27.0720575
+41(0)764537343,Hendrik Vogt,"Blumstrasse 359
3553 Genf",2016-04-10,Africa/Djibouti,60:6d:b8:dc:ce:29,496,80.631597,CH,"$9,391.58",Regensdorf,2009-06-06T13:13:35,-82.564319
+41(0)772723045,Renata Hafner,"Gasserstrasse 61
7702 Thalwil",1970-08-27,Africa/Tripoli,f1:e9:6b:5b:df:3e,3,75.642876,CH,$28.56,Pully,1992-05-12T14:06:53,80.965521
+41(0)767427304,Janis Geiger,"Probststrasse 91
1920 Münchenstein",2016-12-29,America/Caracas,27:b7:ac:59:3c:db,608352,169.831934,CH,$88.77,Risch,2000-02-10T01:16:00,-48.587300
+41 764626839,Miriam Eichenberger,"Schwabstrasse 21
8013 Volketswil",2023-08-18,Asia/Bahrain,31:14:07:6e:be:b0,685,-70.571207,CH,$774.61,St. Gallen,1998-07-09T01:30:27,-81.489083
+410776590533,Fabiola Schmidt,"Kohlerstrasse 11
9153 Kreuzlingen",1998-06-10,America/St_Lucia,39:0a:9e:64:4b:f3,831156,-126.583202,CH,$475.49,Glarus,2002-02-09T22:13:41,-20.505052
+41 767301153,Dragan Sidler,"Mäderstrasse 50
8899 Affoltern",1998-10-04,America/Managua,17:e3:92:7e:57:49,6993,-109.073319,CH,"$14,423.74",Glarus,2021-02-25T07:01:12,-20.906116
+41(0)773565180,Arian Meier,"Zollingerstrasse 358
4702 Nyon",1993-05-05,Pacific/Guadalcanal,fa:43:1c:0e:77:5b,9545,-21.248807,CH,$62.51,Regensdorf,2004-10-03T09:37:37,4.434068
+410764365762,Ronny Hartmann,"Michelstrasse 69
7795 Martigny",1999-02-11,Europe/Malta,fd:68:de:ed:7f:29,86457,174.339799,CH,$8.94,Glarus,1994-09-15T19:52:44,-61.5505325
0796681177,Roy Wenger,"Bucherstrasse 135
2429 Uster",1984-06-13,Europe/Berlin,5e:53:f4:86:bd:02,77959291,-59.985052,CH,$2.07,Langenthal,2015-01-28T00:29:59,3.0127495
+41(0)777212675,Rayan Hodel,"Staufferstrasse 316
8366 Rüti",2001-03-22,Asia/Dhaka,4b:e5:a6:85:82:d7,805,76.921096,CH,$581.02,Wallisellen,1978-09-16T14:50:00,18.644530
+410776642531,Lukas Stettler,"Ritterstrasse 45
7259 Rheinfelden",1971-03-03,Africa/Dar_es_Salaam,a8:59:c5:47:c3:0c,759,37.839951,CH,$664.62,Sarnen,1994-11-27T04:10:15,3.5382335
+41791032510,Angelica Giger,"Amreinstrasse 28
6063 Vernier",1986-10-08,America/Grenada,d6:21:a3:e6:eb:d3,311616429,46.588019,CH,$2.41,Schaffhausen,2015-11-26T18:24:28,-1.8448585
+41(0)766691022,Sylvie Fehr,"Gigerstrasse 76
1642 Pratteln",2011-04-25,America/Tegucigalpa,db:e1:63:f5:76:da,230871248,-104.474647,CH,"$3,188.28",Le Grand-Saconnex,1982-04-21T21:36:39,-29.942037
+410770717145,Henri Stettler,"Zbindenstrasse 78
5781 Pfäffikon",1998-01-30,Asia/Amman,9c:b8:18:47:6d:73,630,-44.982951,CH,"$45,642.25",La Chaux-de-Fonds,2003-04-19T20:40:48,86.683831
+41794227915,Carmine Keller,"Zollingerstrasse 8
4993 St. Gallen",1974-02-09,America/Asuncion,aa:cc:5f:01:f8:ba,7,99.521755,CH,"$66,095.61",Sitten,2003-07-26T08:13:26,36.855960
0770443131,Lidija Roos,"Schärerstrasse 213
9422 Wettingen",1972-12-25,Africa/Bangui,12:ce:a1:97:e7:65,765489,73.584615,CH,$1.40,Adliswil,1997-09-08T20:14:21,-27.824555
+41(0)767396067,Leona Betschart,"Arnoldstrasse 10
8545 Münchenbuchsee",2020-03-03,Asia/Bahrain,a9:27:2c:db:95:94,270,-108.099319,CH,$103.37,Langenthal,2000-02-13T23:47:11,-0.585063
+41(0)771936669,Benno Blaser,"Joststrasse 84
9173 Sitten",2012-12-19,Europe/Stockholm,a6:4b:f9:b4:e3:4c,446,28.780699,CH,$0.01,Ittigen,2013-08-03T20:41:20,1.270008
+410770570616,Jane Ackermann,"Kaufmannstrasse 874
6003 Rüti",1995-08-27,Asia/Kuching,39:16:01:f9:72:93,537157,-62.070737,CH,"$35,206.25",Köniz,1984-12-08T11:19:09,-18.867847
0785190994,Timea Berger,"Wyssstrasse 1
8439 Vernier",1979-04-21,Africa/Lagos,98:c3:69:f1:ff:82,90649,-14.317292,CH,"$2,444.19",Basel,2023-06-26T06:54:15,83.7286205
+41 0761975276,Josef Bühlmann,"Stalderstrasse 70
9560 Weinfelden",1978-11-08,Africa/Nairobi,46:48:d4:ae:68:05,7,-30.893683,CH,"$11,585.61",Oftringen,1985-11-12T18:10:50,64.969587
