phone,zrnr,fullname,file_name,iso8601,bank_country
+41 762860342,JB-4426-5371-BANK,Miodrag Wyss,sapiente.gif,1998-09-18T01:19:31,CH
+41771620066,JB-7381-2337-BANK,Rosanna Näf,quia.odt,1985-04-20T00:07:52,CH
+410760124495,JB-6410-5316-BANK,Avni Gross,perferendis.docx,2019-04-20T16:29:39,CH
+41 0763271631,JB-4958-1297-BANK,Mauro Hofer,ullam.js,1978-08-06T14:48:03,CH
0785445940,JB-7411-4487-BANK,Ahmed Stöckli,soluta.css,2019-04-16T08:27:57,CH
+41 0776876215,JB-2782-5834-BANK,Daniela Egli,provident.json,1984-04-30T01:16:01,CH
+41 773797768,JB-4954-4187-BANK,Carol Zollinger,fuga.png,2016-12-04T13:00:07,CH
+41 782177015,JB-1244-3436-BANK,Jasmina Tobler,aspernatur.gif,1978-03-11T16:28:03,CH
+41 792670808,JB-6499-2782-BANK,Julie Bättig,sequi.txt,2013-05-04T17:15:52,CH
+41(0)765930558,JB-7171-5351-BANK,Dieter Meister,ab.mov,2023-06-09T10:14:54,CH
0765861124,JB-3160-2879-BANK,Victor Wolf,atque.tiff,2011-02-26T03:53:21,CH
+41 782916310,JB-3752-6015-BANK,Yael Fuchs,possimus.mp4,2019-03-18T04:12:46,CH
+41760476828,JB-5641-6366-BANK,Sabine Hunziker,ex.mov,2003-05-07T17:32:36,CH
+41 0775926000,JB-5821-3175-BANK,Svetlana Ziegler,voluptas.jpg,1974-04-03T09:43:56,CH
+410787473785,JB-2481-4102-BANK,Nicolai Jost,rerum.png,1993-07-20T14:30:41,CH
+41 0764834350,JB-6793-6800-BANK,Leo Schmid,earum.pptx,1985-06-18T18:07:50,CH
0797210087,JB-2178-5285-BANK,Zoe Sutter,commodi.flac,1988-11-08T08:37:12,CH
+410796097151,JB-7098-7994-BANK,Käthe Wagner,excepturi.wav,1996-06-09T18:26:56,CH
0780414747,JB-0951-5559-BANK,Marcus Vogt,nulla.json,1972-09-13T12:31:01,CH
+41(0)787511765,JB-1785-4124-BANK,Elmar Stauffer,voluptate.jpg,2019-05-15T04:21:45,CH
+41775177763,JB-7987-2639-BANK,Karolina Erni,voluptates.mp4,1971-07-11T00:55:46,CH
+410785936869,JB-3001-1649-BANK,Jeremy Maurer,ducimus.json,1973-11-30T07:48:31,CH
+410780856226,JB-2314-3073-BANK,Désirée Gasser,numquam.jpg,2005-07-22T12:14:40,CH
+410767922787,JB-5401-5414-BANK,Violette Hauser,cum.odp,1986-11-19T08:35:07,CH
+410777545434,JB-3821-2014-BANK,Hildegard Vogel,eum.css,2019-10-12T04:29:21,CH
+41(0)773920964,JB-2368-2731-BANK,Agathe Schaller,ipsam.pdf,1980-05-23T02:34:48,CH
+41765791603,JB-4158-4115-BANK,Rainer Portmann,porro.jpeg,2004-12-25T01:09:58,CH
+41(0)794176461,JB-5627-2673-BANK,Jeton Hafner,animi.js,2015-02-28T17:41:29,CH
0790053398,JB-5217-7441-BANK,Ajla Zimmermann,sunt.jpeg,1976-02-19T03:32:48,CH
+41797170029,JB-4501-7994-BANK,Laszlo Jenni,explicabo.js,1972-03-05T19:48:52,CH
+41 0771937889,JB-6721-6257-BANK,Fatih Kägi,voluptas.gif,1984-10-08T18:07:51,CH
+41763146399,JB-4490-1170-BANK,Sadik Käser,natus.webm,1973-06-02T06:15:06,CH
0771626272,JB-4655-5667-BANK,Nik Schoch,explicabo.mp3,2021-12-01T22:03:12,CH
+41784581536,JB-7043-2389-BANK,Luan Hürlimann,nesciunt.mov,1972-03-22T07:24:10,CH
+41771771045,JB-5688-2008-BANK,Fisnik Frick,doloribus.bmp,1974-02-18T16:45:07,CH
+41775507007,JB-4563-5055-BANK,Carol Benz,itaque.html,2014-03-01T09:49:30,CH
+41777336409,JB-4907-6591-BANK,Claudio Hofer,temporibus.docx,1976-08-23T20:30:39,CH
+41 0783037100,JB-7127-2966-BANK,Katherine Jost,optio.wav,2022-04-10T21:22:36,CH
+410775690910,JB-1227-7458-BANK,Harald Herzog,unde.ppt,2019-04-02T03:46:23,CH
